"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1354896.77976736,10.3528604770149,1354862.15816884,1354889.91736343,1354897.17352011,1354903.74101139,1354928.29473512
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47283.5102426063,2.53971443541755,47274.5758014192,47281.7878493355,47283.5693172744,47285.2271688144,47291.479696902
"Num Offtake","Juvenile Male",24233.8187127544,2.03394422325325,24226.6640853933,24232.4402020402,24233.8661876615,24235.1932961898,24240.2008241362
"Num Offtake","Juvenile Combined",71517.3289553607,4.57365862585305,71501.2398868125,71514.2280513758,71517.4355049359,71520.4204650041,71531.6805210382
"Num Offtake","Adult Female",255667.68990516,0.565230892048286,255665.906310773,255667.316586591,255667.713259529,255668.058197878,255669.344913121
"Num Offtake","Adult Male",1027711.76090684,5.2782801734563,1027695.01197126,1027708.23100526,1027711.98506591,1027715.1905176,1027727.26930096
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1728425.72958972,1598.93175180701,1723830.45987552,1727390.22080082,1728402.18473407,1729451.73179167,1733447.22920315
"Cml Pop Growth","Neonatal Female",-184716.889165702,546.684034172763,-186414.987862575,-185065.743513159,-184710.320241919,-184366.308896562,-182973.631338853
"Cml Pop Growth","Neonatal Male",257472.222216243,546.684034172775,255774.12351937,257123.367868787,257478.791140026,257822.802485383,259215.480043091
"Cml Pop Growth","Neonatal Combined",72755.3330505413,1093.36806834554,69359.135656795,72057.6243556279,72768.4708981072,73456.4935888214,76241.8487042382
"Cml Pop Growth","Juvenile Female",1029336.10688049,266.061130372369,1028431.00613124,1029152.37653822,1029337.7894184,1029521.69835882,1030188.8945784
"Cml Pop Growth","Juvenile Male",950021.42406166,266.484008946602,949114.720358868,949837.618619182,950023.112844213,950207.015754179,950875.635403857
"Cml Pop Growth","Juvenile Combined",1979357.53094215,532.545115708076,1977545.7264901,1978989.9951574,1979360.90226261,1979728.71411299,1981064.52998226
"Cml Pop Growth","Adult Female",98179.1586850202,48.9723753933214,98006.382146378,98145.5043078598,98180.4377359189,98212.2797138323,98333.061726029
"Cml Pop Growth","Adult Male",-421866.293087984,45.7160650300318,-422028.409836423,-421897.424439529,-421865.172041584,-421835.510673152,-421722.248697554
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",3083322.50935709,1606.00185025276,3078709.43182991,3082285.74928092,3083303.35863543,3084357.79356217,3088373.12259643
"Total Number Increase","Neonatal Female",-184716.889165702,546.684034172763,-186414.987862575,-185065.743513159,-184710.320241919,-184366.308896562,-182973.631338853
"Total Number Increase","Neonatal Male",257472.222216243,546.684034172775,255774.12351937,257123.367868787,257478.791140026,257822.802485383,259215.480043091
"Total Number Increase","Neonatal Combined",72755.3330505413,1093.36806834554,69359.135656795,72057.6243556279,72768.4708981072,73456.4935888214,76241.8487042382
"Total Number Increase","Juvenile Female",1076619.61712309,268.418246554616,1075705.58193266,1076435.27200754,1076621.02869095,1076805.98463814,1077480.3742753
"Total Number Increase","Juvenile Male",974255.242774414,268.371741984809,973341.384444262,974070.937424982,974256.646018985,974441.606497357,975115.836227993
"Total Number Increase","Juvenile Combined",2050874.85989751,536.789987665954,2049046.96637692,2050506.20943252,2050877.67470993,2051247.5911355,2052596.2105033
"Total Number Increase","Adult Female",353846.848590181,49.5215963096809,353672.288457151,353812.853632916,353848.10982673,353880.289216098,354002.40663915
"Total Number Increase","Adult Male",605845.467818859,50.8486055813301,605666.602134832,605811.005051006,605846.654691538,605879.832404745,606005.020603406
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1461867331.80256,433669540.344235,409049324.148903,1126055667.26371,1465893891.82581,1792085099.38101,2652664716.9109
"Population Liveweight (kg)","Neonatal Female",98256502.2807588,56501573.6939229,1939756.27885482,50453842.1607753,98969097.7666844,148016814.279662,194188355.655585
"Population Liveweight (kg)","Neonatal Male",85053087.1239876,50323492.7203769,1700029.01959864,40816777.6822897,86695673.8555083,129238797.283372,170098339.886516
"Population Liveweight (kg)","Juvenile Female",215745355.340122,125390952.896187,2386925.88703831,104441622.112429,217229335.593425,324623520.481251,429788130.258066
"Population Liveweight (kg)","Juvenile Male",157383255.077345,88295563.9105837,1706057.82358233,78516044.8611414,158703152.125123,237643294.236809,307204949.194705
"Population Liveweight (kg)","Juvenile Combined",373128610.417467,152384633.913264,21160189.9513903,258306125.673015,377274414.533712,482906109.857713,723175927.269271
"Population Liveweight (kg)","Adult Female",652497000.426344,374468553.383834,5421876.0063935,319891690.972631,634370644.312363,970520221.181571,1301271135.49192
"Population Liveweight (kg)","Adult Male",252932131.553999,138986617.217882,2015142.09564666,136523227.028092,261960781.076843,378857666.024483,483651784.661599
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",158150621.723423,73199031.686884,9409764.07294805,99452003.6679234,160113072.136901,218086615.360488,313710041.252809
"Offtake Liveweight (kg)","Juvenile Female",4286774.96238998,2437754.46192079,47285.6054020445,2175160.42931802,4302534.55088834,6477652.68930791,8511244.56822138
"Offtake Liveweight (kg)","Juvenile Male",2137568.58467081,1232009.4312795,24230.4274975082,1090664.61968589,2108402.83007037,3150613.76433971,4362111.62806359
"Offtake Liveweight (kg)","Adult Female",31106831.3693868,17604033.2443765,255667.35186613,16107065.2102043,30680134.4158283,46020160.7361547,61360363.6960024
"Offtake Liveweight (kg)","Adult Male",120619446.806975,70800319.5960454,1027711.44075941,59607349.3147934,118187139.166007,182162627.08319,246651777.082405
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",506885913.681498,75339668.0868933,276861283.603553,454877892.727585,503582683.831812,560229253.735256,722402988.552078
"Manure","Overall",7327614472.94363,246643550.448857,6663995210.41615,7156796428.18284,7323844423.40124,7506540632.01337,8159924976.07433
"Manure","Neonatal Female",469420849.893628,11829996.1516422,425277718.969689,461531971.440087,469501134.049216,477425782.284774,509412230.040594
"Manure","Neonatal Male",374784436.70813,9638744.50557585,341569040.610815,368375961.390646,375147070.33481,381276078.595092,406035209.707622
"Manure","Neonatal Combined",844205286.601758,15018038.1783272,787171961.85131,833858339.047645,844369618.53703,854334690.633003,898501049.504733
"Manure","Juvenile Female",817943023.75297,28020787.615281,729461408.498877,798675543.315965,818862925.644414,838077754.815645,903060883.820095
"Manure","Juvenile Male",535005334.342102,17653701.6263023,487200545.433892,522552106.337159,534688049.465299,546018433.367757,602847426.86548
"Manure","Juvenile Combined",1352948358.09507,33669917.3041997,1241933090.5397,1329099994.24357,1354018740.51756,1376447385.64662,1461870004.00151
"Manure","Adult Female",3655639512.76138,225106507.932068,3007893475.45506,3519801110.5641,3649067702.63257,3778277654.12515,4289828064.53872
"Manure","Adult Male",1474821315.48543,88179996.3588108,1210421289.58729,1417919746.19818,1472498939.74849,1526210362.94956,1733066894.36316
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
