"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1301750.16272179,42.4982230347513,1301599.06685377,1301723.14336248,1301752.2202218,1301778.38934596,1301870.83368856
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44916.0502471681,17.5346854090064,44857.7587173201,44903.8584903531,44916.1139884314,44927.6092081247,44977.2052143987
"Num Offtake","Juvenile Male",23013.1176332495,9.5858214795196,22980.2945848326,23006.6077792014,23013.7042994375,23019.9477346212,23039.0498903228
"Num Offtake","Juvenile Combined",67929.1678804176,20.1738412521906,67850.6036793481,67916.8008555847,67928.7700669017,67942.0437415894,67998.6202126412
"Num Offtake","Adult Female",255100.886201145,4.47730824843274,255086.317484158,255097.852211658,255100.968850455,255103.813665275,255116.129839968
"Num Offtake","Adult Male",978720.108640224,26.5985635521183,978624.776813764,978701.977941409,978721.577297876,978738.587508912,978789.924489405
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",788858.952417828,5219.71119780132,772325.855128275,785347.501609796,788990.286063656,792407.038732491,804533.275201343
"Cml Pop Growth","Neonatal Female",-348271.299798367,2613.60570973115,-359389.242025626,-350076.316225214,-348348.659182819,-346385.301225629,-340136.393151833
"Cml Pop Growth","Neonatal Male",125865.492994146,2207.9795277638,118656.507282027,124295.935488833,125855.20476233,127368.549086688,132536.253530045
"Cml Pop Growth","Neonatal Combined",-222405.806804221,3478.53035924662,-233207.56959245,-224727.949196566,-222314.190092663,-220144.536123466,-212020.419225918
"Cml Pop Growth","Juvenile Female",798953.852291507,1601.14716720811,793233.537082257,797839.472430351,798935.121502485,800030.358108669,803528.060142196
"Cml Pop Growth","Juvenile Male",792056.419734122,1170.42991676558,788200.360457421,791247.074124446,792118.864712977,792940.246677429,795874.98665695
"Cml Pop Growth","Juvenile Combined",1591010.27202563,1995.44400727659,1583245.73090893,1589740.38482735,1591060.80734297,1592300.72501027,1597179.14517637
"Cml Pop Growth","Adult Female",52708.8080914166,336.521615208482,51589.145252631,52473.8611423138,52709.7533508306,52929.7536823163,53881.3775962247
"Cml Pop Growth","Adult Male",-632454.320894996,208.404559718342,-633163.302685035,-632595.342728714,-632444.665540274,-632308.75019062,-631892.17019694
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2090609.11513962,5244.37467536307,2073926.17872547,2087085.12516463,2090747.18627466,2094177.96550539,2106337.11084977
"Total Number Increase","Neonatal Female",-348271.299798367,2613.60570973115,-359389.242025626,-350076.316225214,-348348.659182819,-346385.301225629,-340136.393151833
"Total Number Increase","Neonatal Male",125865.492994146,2207.9795277638,118656.507282027,124295.935488833,125855.20476233,127368.549086688,132536.253530045
