"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337413.40380395,41.8656961471774,1337250.43050343,1337384.95170031,1337413.35016028,1337441.83097357,1337574.8666594
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44840.1569065876,17.1529501147161,44768.1398849291,44828.5493716162,44840.1831980237,44851.7617513198,44906.171074726
"Num Offtake","Juvenile Male",22952.7398775659,9.26301168855349,22920.3889401574,22946.3534403686,22952.7285700226,22959.054253453,22985.5160576598
"Num Offtake","Juvenile Combined",67792.8967841534,19.7979926174692,67717.1765251309,67779.307881183,67792.8734826689,67806.2785445753,67867.1138128769
"Num Offtake","Adult Female",245277.949334668,4.30314255731816,245261.418212922,245275.049194121,245277.929741169,245280.931516559,245294.449198579
"Num Offtake","Adult Male",1024342.55768513,26.343912692062,1024237.02047339,1024324.15316754,1024342.68601371,1024360.63697175,1024428.70832384
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",408590.055691518,5367.47367111079,388216.836518457,404957.464395581,408598.123594241,412204.745401065,428922.193641104
"Cml Pop Growth","Neonatal Female",-400487.170154687,2669.86204699154,-410950.385240229,-402296.225707225,-400497.682004038,-398679.900008309,-390381.460541544
"Cml Pop Growth","Neonatal Male",73679.0655022929,2176.2178735132,65877.4014247751,72174.3277474632,73655.7148485527,75152.9889259457,81641.2816862857
"Cml Pop Growth","Neonatal Combined",-326808.104652394,3554.30239875233,-339658.148799503,-329142.499303457,-326829.170930257,-324412.970938986,-311899.784901814
"Cml Pop Growth","Juvenile Female",784476.015514666,1602.24745718065,777900.775471373,783398.203800323,784483.418705521,785573.950525456,789960.425184234
"Cml Pop Growth","Juvenile Male",777590.202647933,1145.29148377006,773510.570997946,776801.391706633,777577.504424304,778371.100420301,781577.672213974
"Cml Pop Growth","Juvenile Combined",1562066.2181626,2010.53731046062,1555274.53000295,1560703.00749362,1562083.07875088,1563426.3100286,1569927.41306679
"Cml Pop Growth","Adult Female",-376143.997072703,321.859068008388,-377498.544045334,-376362.276849798,-376145.21800385,-375926.128119072,-374899.733023081
"Cml Pop Growth","Adult Male",-450524.060745984,206.528045490688,-451227.296969451,-450665.990302526,-450524.16856484,-450383.331717377,-449782.757902805
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1746003.45949547,5392.13030873173,1725526.53063358,1742357.12794217,1746018.87716604,1749622.09125455,1766454.78023049
"Total Number Increase","Neonatal Female",-400487.170154687,2669.86204699154,-410950.385240229,-402296.225707225,-400497.682004038,-398679.900008309,-390381.460541544
"Total Number Increase","Neonatal Male",73679.0655022929,2176.2178735132,65877.4014247751,72174.3277474632,73655.7148485527,75152.9889259457,81641.2816862857
"Total Number Increase","Neonatal Combined",-326808.104652394,3554.30239875233,-339658.148799503,-329142.499303457,-326829.170930257,-324412.970938986,-311899.784901814
"Total Number Increase","Juvenile Female",829316.172421254,1617.24425982461,822673.855680647,828228.613713027,829322.495500157,830423.726455396,834863.553488174
"Total Number Increase","Juvenile Male",800542.942525499,1153.35995565036,796435.32101771,799748.28017414,800530.338160541,801331.351077406,804555.479473456
"Total Number Increase","Juvenile Combined",1629859.11494675,2027.72394703803,1622992.19076041,1628487.9730274,1629877.97252844,1631230.5508523,1637786.59036807
"Total Number Increase","Adult Female",-130866.047738036,325.932214100441,-132237.125832411,-131086.95848248,-130866.997705854,-130645.286170385,-129607.135899261
"Total Number Increase","Adult Male",573818.496939146,231.575292213841,573009.723503936,573658.836009214,573818.214250565,573976.356336325,574637.901441495
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1212015.32655332,5173.83470050612,1193982.77754556,1208455.64022409,1212028.05117167,1215511.97697628,1232632.60101374
"Total Mortality","Neonatal Female",248943.975844947,4006.8703713064,235108.949662137,246212.977351787,248912.247459134,251670.079625177,263084.232135083
"Total Mortality","Neonatal Male",194339.700633836,3085.17121880548,182459.234858899,192247.260677504,194354.031032919,196445.699655278,206333.156281176
"Total Mortality","Neonatal Combined",443283.676478783,5106.59148571556,424420.113492586,439809.849624539,443253.038252244,446729.410576727,461552.026692778
"Total Mortality","Juvenile Female",188319.79221477,947.985349762568,184763.150891239,187686.475065837,188323.869991684,188962.4924543,191714.552293597
"Total Mortality","Juvenile Male",120515.702857261,619.489164806873,118414.188194355,120099.207793756,120511.173238873,120935.726417118,122770.681626763
"Total Mortality","Juvenile Combined",308835.495072032,1129.62332466343,304479.496199396,308077.477759709,308834.510015955,309596.651905366,312872.351588212
"Total Mortality","Adult Female",459896.155002502,8.06839229497307,459865.159149229,459890.717238977,459896.118264692,459901.746593548,459927.092247336
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",21126047285.228,57092726.5274518,20922078076.1477,21086936065.3702,21125969233.9718,21165011106.4764,21361318729.423
"Value of Total Mortality","Neonatal Female",2806629011.41705,45174013.9158873,2650651001.80024,2775839354.52729,2806271301.18202,2837363484.63239,2966048227.72091
"Value of Total Mortality","Neonatal Male",1930574409.54131,30648151.5853598,1812553628.79646,1909788069.84839,1930716768.00774,1951495445.25381,2049717633.90158
"Value of Total Mortality","Neonatal Combined",4737203420.95836,55103954.4549621,4533174519.0691,4699676493.1179,4736878950.85271,4774353667.61503,4936429359.26056
"Value of Total Mortality","Juvenile Female",2811508226.1456,14152886.3099177,2758409578.25014,2802053158.50217,2811569105.05377,2821103378.03661,2862190078.40956
"Value of Total Mortality","Juvenile Male",2222077974.37472,11422189.7714984,2183330082.31952,2214398605.75213,2221994456.91588,2229822401.68958,2263655449.65467
"Value of Total Mortality","Juvenile Combined",5033586200.52032,18138646.0322381,4963784289.7369,5021341221.7745,5033609734.64883,5045748462.23971,5099481253.02211
"Value of Total Mortality","Adult Female",11355257663.7493,199216.002232357,11354492347.7175,11355123400.383,11355256756.6591,11355395725.2582,11356021532.6852
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1325058537.43315,401600648.335337,179985269.796278,1021739884.4148,1321060826.75808,1630861959.50976,2437429995.84669
"Population Liveweight (kg)","Neonatal Female",87604710.5209806,49653057.2156083,1717361.09300734,44886016.364046,87956436.1135622,130775559.92067,172985909.974236
"Population Liveweight (kg)","Neonatal Male",76332131.3735437,43917090.5228273,1510287.55560279,37932409.9858141,75969810.9411657,115125056.636168,152226545.729739
"Population Liveweight (kg)","Juvenile Female",193897101.793947,111498392.64412,2137908.13464826,98510027.3858165,194894285.595755,291323621.52569,386463439.459451
"Population Liveweight (kg)","Juvenile Male",137684230.265596,79952281.8824171,1531904.01731388,67546253.5314914,136581937.930719,207102958.95091,276497902.824064
"Population Liveweight (kg)","Juvenile Combined",331581332.059542,136529767.939602,5211505.95824512,232739134.924409,332565830.942114,430491886.295261,656050585.500525
"Population Liveweight (kg)","Adult Female",590910118.896828,343295608.973912,4946982.02878826,296834234.975282,588752620.900665,885646446.867597,1187597657.27129
"Population Liveweight (kg)","Adult Male",238630244.582254,137434125.736359,1985954.1442164,119180520.014391,238401588.749806,359512512.231512,476872316.48907
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",159307907.409277,72661830.6168002,7206068.9243288,98455989.9705197,159313252.646731,220384623.173394,310438148.621109
"Offtake Liveweight (kg)","Juvenile Female",4045711.49974301,2327436.07747782,44799.3649424942,2062453.22804976,4035245.30943196,6054517.35305121,8077510.21811003
"Offtake Liveweight (kg)","Juvenile Male",2051270.70996113,1189729.95098909,22924.3349870591,1032666.19961915,2042305.81167052,3075409.87599074,4135684.48003653
"Offtake Liveweight (kg)","Adult Female",29285843.4486183,17119934.745035,245268.239749315,14471258.4119792,28942744.9922304,44150284.475058,58868844.6992797
"Offtake Liveweight (kg)","Adult Male",123925081.750955,70679405.5948366,1024301.24881059,63506392.5281556,123946733.62576,185405110.802115,245856752.009329
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",503309587.580874,75737244.5446687,257534735.66283,450290892.425629,504475066.497183,555275889.920267,754372191.629
"Manure","Overall",7014875907.85858,234209703.165575,6221978315.30406,6854005245.71603,7012143088.61959,7173960852.90547,7868739845.7995
"Manure","Neonatal Female",440576418.006862,11083269.8256523,398185724.076713,433085793.749898,440556287.284199,448077891.537676,484659965.468805
"Manure","Neonatal Male",351347559.239998,8991721.91178805,320721808.199203,345196330.430803,351223351.430694,357515772.237434,386132908.538841
"Manure","Neonatal Combined",791923977.246859,14407992.3345207,742729251.842123,782128753.979053,791937207.325127,801688879.388097,844320989.046707
"Manure","Juvenile Female",770015692.277591,25328327.2055512,687277053.616203,752975861.288248,770209814.541984,787000173.345776,866865081.825252
"Manure","Juvenile Male",502210735.278749,16794664.2416903,443062407.379373,490822541.624329,502192582.182859,513612376.405962,573870364.330051
"Manure","Juvenile Combined",1272226427.55634,29825951.218023,1162570091.67749,1251932409.81621,1272699064.36932,1292547418.36998,1389294585.64611
"Manure","Adult Female",3482414197.53613,214507047.575636,2742424069.63171,3349840542.51107,3474236037.28808,3599352170.94635,4205227080.62347
"Manure","Adult Male",1468311305.51925,88569302.7696215,1156623543.43543,1411766214.59982,1465944188.80172,1520289933.82748,1773550392.48319
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",384365.825037267,563.511676730396,382188.752924137,383987.908486692,384364.729553446,384745.37156243,386382.614671738
"Hides","Juvenile Female",94159.8961073852,473.992674881284,92381.5754456197,93843.2375329185,94161.9349958421,94481.2462271502,95857.2761467983
"Hides","Juvenile Male",60257.8514286307,309.744582403437,59207.0940971773,60049.6038968778,60255.5866194364,60467.8632085592,61385.3408133817
"Hides","Juvenile Combined",154417.747536016,564.811662331716,152239.748099698,154038.738879854,154417.255007978,154798.325952683,156436.175794106
"Hides","Adult Female",229948.077501251,4.03419614748654,229932.579574615,229945.358619489,229948.059132346,229950.873296774,229963.546123668
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",369831642.466766,61494093.4250875,154423474.525029,328477119.498488,370680072.858021,411781897.351733,589393096.033619
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",13697488343.0881,1016015782.12748,10114683553.1978,13010231450.1947,13685650720.5565,14385870212.4611,17535029067.9046
"Cml Dry Matter","Neonatal Female",1015371715.5241,98424843.0723503,677244538.82236,955743752.938066,1015392354.75995,1075480044.83632,1355344800.60733
"Cml Dry Matter","Neonatal Male",809719916.925141,78183283.6974594,540811015.362223,764729839.521009,810502575.70564,856297054.449548,1082849629.5124
"Cml Dry Matter","Neonatal Combined",1825091632.44924,124965273.578548,1367944027.73887,1738179303.02937,1824640667.04402,1911840220.09835,2280854699.08269
"Cml Dry Matter","Juvenile Female",1672782706.83642,217789365.105396,852597156.622931,1521196876.77121,1673301488.23636,1819448495.8712,2511690873.95053
"Cml Dry Matter","Juvenile Male",1090890775.19698,143833531.966249,530519884.132525,990769800.629588,1090424605.38372,1188834077.43771,1656359969.7148
"Cml Dry Matter","Juvenile Combined",2763673482.0334,259982080.169447,1758033241.64917,2584625781.17428,2760591881.45711,2942363114.05052,3951010757.79165
"Cml Dry Matter","Adult Female",6409159431.34547,895406969.524396,3187567228.95757,5790834502.94357,6399015736.67666,7016096244.20181,9598592318.74208
"Cml Dry Matter","Adult Male",2699563797.26002,384394460.625192,1337541506.19978,2442835660.11847,2702603023.15379,2960911872.89743,4059076825.42481
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",40923908590.4017,6489626467.69831,24141683902.088,36082979142.1909,40887358502.9672,45822203967.7707,56746037301.4929
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",736955543.908191,35842586.3361518,605714094.397532,714174542.402515,742233113.955329,764880893.421579,796912179.934327
"Value of Offtake","Juvenile Male",459886739.497621,12384778.3482112,404615459.333042,452552900.00046,462737399.402024,469722490.028705,476722713.393516
"Value of Offtake","Juvenile Combined",1196842283.40581,37908649.4019979,1051930880.82555,1172439232.41365,1202492089.91251,1225816320.16126,1270566660.67584
"Value of Offtake","Adult Female",5706473092.37665,431355671.833525,4595508217.81796,5387326255.78254,5710900071.92458,6038115311.79136,6788875660.40374
"Value of Offtake","Adult Male",34020593214.6192,6475250881.98672,17252190349.8343,29179470234.6921,33958555248.2403,38865515364.2211,49643654270.9651
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of draught","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",1100003033.87555,3040017406.13936,-7915985682.83037,-1127360461.66396,1087423004.68643,3310587299.75682,9722938267.00694
"Value of Herd Increase","Neonatal Female",-4460996307.71203,61075195.7883871,-4709496747.9337,-4502286887.77268,-4456636233.86022,-4416228973.65977,-4293883495.32889
"Value of Herd Increase","Neonatal Male",801022059.550704,92123428.557956,628102124.650634,730955614.208633,780744796.669489,853710060.97335,1253122170.67094
"Value of Herd Increase","Neonatal Combined",-3659974248.16133,112047634.815691,-4043676871.21538,-3737726796.7299,-3671887324.79742,-3592575906.61965,-3170329813.86722
"Value of Herd Increase","Juvenile Female",12890467597.5578,625934955.594957,10614352529.9391,12490394679.5181,12969566002.0552,13382722704.2245,13987387685.432
"Value of Herd Increase","Juvenile Male",15587893076.8374,417925243.696243,13685761591.1481,15342468160.5064,15685010694.4642,15919710964.6838,16188567297.6243
"Value of Herd Increase","Juvenile Combined",28478360674.3952,754262256.347715,25132498166.1981,28004201758.1205,28558767538.4657,29042169663.788,30039592073.6347
"Value of Herd Increase","Adult Female",-8759363561.78302,661399741.172182,-10359090646.4087,-9279284172.13797,-8770165224.01514,-8275211498.18482,-7050625674.23002
"Value of Herd Increase","Adult Male",-14959019830.5753,2862224627.54646,-21825648047.0508,-17137661007.1511,-14971333285.016,-12819372396.6983,-7572280263.26459
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",42023911624.2772,7094094231.43147,21159295581.6239,36868957723.9716,42051103831.2107,47119119033.2034,62789022862.2139
"Value of Herd Increase plus Offtake","Neonatal Female",-4460996307.71203,61075195.7883871,-4709496747.9337,-4502286887.77268,-4456636233.86022,-4416228973.65977,-4293883495.32889
"Value of Herd Increase plus Offtake","Neonatal Male",801022059.550704,92123428.557956,628102124.650634,730955614.208633,780744796.669489,853710060.97335,1253122170.67094
"Value of Herd Increase plus Offtake","Neonatal Combined",-3659974248.16133,112047634.815691,-4043676871.21538,-3737726796.7299,-3671887324.79742,-3592575906.61965,-3170329813.86722
"Value of Herd Increase plus Offtake","Juvenile Female",13627423141.466,626679009.558868,11376539665.6188,13228190471.2432,13706216359.6102,14120240100.0756,14756012372.143
"Value of Herd Increase plus Offtake","Juvenile Male",16047779816.335,418099627.426874,14110531692.9772,15802916003.7311,16144150984.2607,16377771071.0675,16653131771.2198
"Value of Herd Increase plus Offtake","Juvenile Combined",29675202957.801,755106164.342341,26300145501.946,29201807272.3011,29753563338.4197,30242285846.0612,31284842538.9551
"Value of Herd Increase plus Offtake","Adult Female",-3052890469.40637,792573859.25939,-5535364305.21978,-3626032772.04545,-3058048741.47301,-2496197836.36914,-654787325.523372
"Value of Herd Increase plus Offtake","Adult Male",19061573384.0439,7027118312.38648,-1802267933.2595,13990079938.0415,19028221496.1168,24145691538.3729,39857560726.8814
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",3507437953.92929,117104851.582788,3110989157.65203,3427002622.85802,3506071544.3098,3586980426.45274,3934369922.89975
"Value of Manure","Neonatal Female",220288209.003431,5541634.91282617,199092862.038357,216542896.874949,220278143.642099,224038945.768838,242329982.734402
"Value of Manure","Neonatal Male",175673779.619999,4495860.95589403,160360904.099602,172598165.215402,175611675.715347,178757886.118717,193066454.269421
"Value of Manure","Neonatal Combined",395961988.62343,7203996.16726034,371364625.921062,391064376.989527,395968603.662564,400844439.694049,422160494.523354
"Value of Manure","Juvenile Female",385007846.138795,12664163.6027756,343638526.808102,376487930.644124,385104907.270992,393500086.672888,433432540.912626
"Value of Manure","Juvenile Male",251105367.639375,8397332.12084517,221531203.689687,245411270.812164,251096291.09143,256806188.202981,286935182.165025
"Value of Manure","Juvenile Combined",636113213.77817,14912975.6090115,581285045.838745,625966204.908103,636349532.184661,646273709.184989,694647292.823056
"Value of Manure","Adult Female",1741207098.76806,107253523.787818,1371212034.81585,1674920271.25553,1737118018.64404,1799676085.47317,2102613540.31174
"Value of Manure","Adult Male",734155652.759627,44284651.3848108,578311771.717713,705883107.299908,732972094.400862,760144966.913739,886775196.241595
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",22101852.6465781,36118.3359603636,21963072.2536868,22077314.5288044,22101800.5441525,22125940.5807653,22233614.1395987
"Value of Hides","Juvenile Female",5457098.41699293,27470.5557534916,5354034.67893232,5438746.26202158,5457216.58210813,5475722.47354319,5555471.18830051
"Value of Hides","Juvenile Male",4609535.90063511,23694.4852623385,4529156.27329432,4593605.62016418,4609362.64986294,4625601.14053639,4695785.28844726
"Value of Hides","Juvenile Combined",10066634.317628,36179.7321890199,9927805.38970584,10042061.2706167,10066605.0998355,10090758.1260261,10198481.5743272
"Value of Hides","Adult Female",12035218.3289501,211.145193925551,12034407.1852661,12035076.0258007,12035217.3675427,12035364.6576774,12036027.9388849
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",11464780916.4697,1906316896.17771,4787127710.27591,10182790704.4531,11491082258.5987,12765238817.9037,18271185977.0422
"Value of Milk","Adult Female",11464780916.4697,1906316896.17771,4787127710.27591,10182790704.4531,11491082258.5987,12765238817.9037,18271185977.0422
"Total Production Value","Overall",57018232347.3228,7399662848.50073,31733633978.1488,51673732264.699,56983754024.5235,62260648160.9337,80908107091.1705
"Total Production Value","Neonatal Female",-4240708098.7086,61455128.1914169,-4483015492.65467,-4282717336.21786,-4236776360.17352,-4195430302.35434,-4070747671.10018
"Total Production Value","Neonatal Male",976695839.170702,92280898.7534245,808931635.283429,906432547.130088,956807633.477664,1029813584.59414,1431974997.72058
"Total Production Value","Neonatal Combined",-3264012259.5379,112465987.61999,-3642119867.57314,-3342497449.29735,-3275735049.79927,-3196690867.54471,-2769967290.86334
"Total Production Value","Juvenile Female",14017888086.0218,626787500.207059,11754202203.0505,13618903372.2738,14098769904.5398,14511439315.4014,15152115654.0083
"Total Production Value","Juvenile Male",16303494719.875,418261084.759496,14348350796.0094,16057637801.4371,16399678316.3213,16633871961.7397,16899673470.2981
"Total Production Value","Juvenile Combined",30321382805.8968,755089173.85009,26946441617.3071,29851734786.0383,30398490931.8534,30887322812.8378,31919098052.3437
"Total Production Value","Adult Female",10165132764.1604,2072428464.14697,2935437163.46776,8764840069.37169,10206459175.1622,11557591081.9632,18334840089.6998
"Total Production Value","Adult Male",19795729036.8036,7027882050.55633,-1121513471.93826,14719898521.6552,19759125074.3192,24879788443.6806,40617132432.4305
"Total Production Value","Oxen",0,0,0,0,0,0,0
"Feed Cost","Overall",519067325.240266,15017928.0126593,468021752.290604,508914726.280799,518663756.89018,528988344.679597,584129085.099273
"Feed Cost","Neonatal Female",37237766.7214376,2010315.496384,30866502.7527011,35848500.4025104,37215285.1708049,38585506.4805285,44388780.8204191
"Feed Cost","Neonatal Male",29704691.9774273,1621482.66449601,24308159.2631014,28599211.6105202,29654687.5298178,30793692.6397956,36088911.9916584
"Feed Cost","Neonatal Combined",66942458.6988649,2574054.89702077,58302625.0347382,65180189.6494861,66929789.4974067,68675819.7007501,75665730.6584378
"Feed Cost","Juvenile Female",66221239.7809499,3585872.56994542,54070366.8691198,63723766.9152782,66093954.4185819,68603275.7090517,82340173.9482903
"Feed Cost","Juvenile Male",43128763.2663549,2373760.39145146,35685617.6508042,41484941.3619921,43064013.5486009,44725254.319778,55262281.4567286
"Feed Cost","Juvenile Combined",109350003.047305,4270753.51088136,93732456.3271591,106434438.169428,109245686.579494,112216248.685762,129248514.239267
"Feed Cost","Adult Female",241214748.617636,13077069.3627549,197347263.196805,232165489.946636,240794281.957431,249880104.253254,295049389.215116
"Feed Cost","Adult Male",101560114.876461,5511121.42799358,81823983.5853657,97705330.7428304,101371120.730055,105212671.961389,122948892.171903
"Feed Cost","Oxen",0,0,0,0,0,0,0
"Labour Cost","Overall",5417464834.82856,128272260.211374,4951785444.58332,5328470704.35394,5416810837.13411,5502857588.38682,5921802811.51874
"Labour Cost","Neonatal Female",745201464.981864,38208281.747882,597831971.846406,718625668.715576,744664805.845442,770464647.825253,893352004.176359
"Labour Cost","Neonatal Male",594749004.888397,30202861.2449841,484105821.984495,573662730.541633,594739734.46246,614681012.122598,694239813.973897
"Labour Cost","Neonatal Combined",1339950469.87026,48411857.5277706,1152032047.56919,1307118218.41372,1339743651.48724,1372079800.89853,1535819529.01964
"Labour Cost","Juvenile Female",736333485.743426,37913032.4643205,611656574.230842,710039372.850199,735510311.712562,761348640.939014,876012334.526047
"Labour Cost","Juvenile Male",480596142.958185,24975455.7746977,381407628.290986,463326576.807686,480047203.040885,497297104.210131,581876012.518977
"Labour Cost","Juvenile Combined",1216929628.70161,45234594.3455357,1066509171.34097,1185505365.60804,1215715258.75694,1247603638.01935,1387488488.77623
"Labour Cost","Adult Female",2011047140.80729,101793390.307979,1699765311.23123,1940824458.35715,2007334516.40572,2078533685.04931,2449284278.7401
"Labour Cost","Adult Male",849537595.449405,43564969.0811025,677871924.099939,819641842.236602,848662487.809574,879024464.676545,1016339991.48997
"Labour Cost","Oxen",0,0,0,0,0,0,0
"Health Cost","Overall",1572512094.69494,390826.272343361,1571000291.30042,1572245196.34734,1572513511.41894,1572774984.32171,1574140470.44179
"Health Cost","Neonatal Female",216322494.770979,218554.73778554,215521803.093798,216172349.317426,216324018.549881,216471607.942395,217093378.133298
"Health Cost","Neonatal Male",172616962.411416,160585.978422558,171998006.347872,172507801.023697,172615961.29002,172726572.581829,173292947.889459
"Health Cost","Neonatal Combined",388939457.182395,278992.613712452,387929798.897367,388750649.888389,388939510.11753,389126885.5892,390149425.812567
