"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6567972.46884325,1871.85436019701,6564103.16997454,6566557.24811602,6567819.72773311,6569163.878742,6574525.51811437
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97098.5055965451,572.709474357237,95856.7871360891,96662.5877354516,97056.3587489545,97468.9883868954,99085.6963377084
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",97098.5055965451,572.709474357237,95856.7871360891,96662.5877354516,97056.3587489545,97468.9883868954,99085.6963377084
"Num Offtake","Adult Female",1163408.87502481,259.70265345286,1162865.7998267,1163208.52033357,1163378.97813524,1163571.45952888,1164264.61800686
"Num Offtake","Adult Male",837794.387817361,1035.65576651598,835406.21577115,837045.438423619,837686.75330124,838459.371069681,841401.653002722
"Num Offtake","Oxen",4469670.70040454,38.0512863969909,4469582.75533535,4469643.63120352,4469666.11746398,4469695.24428991,4469809.52147931
"Cml Pop Growth","Overall",2455953.0485018,457256.015541593,1203842.2088175,2109496.85666431,2439907.96130627,2767232.24303698,4007137.09322984
"Cml Pop Growth","Neonatal Female",1136490.57630095,155150.614405517,708620.611100209,1024010.35649912,1126091.5807139,1237816.84174088,1624218.41947452
"Cml Pop Growth","Neonatal Male",805537.5936971,155117.584598295,346201.997409902,697237.151411924,799349.590960854,910874.374636505,1280149.93105644
"Cml Pop Growth","Neonatal Combined",1942028.16999805,307722.320402423,1054822.60851011,1714407.05057956,1925109.98710643,2155181.69040354,2890579.06850601
"Cml Pop Growth","Juvenile Female",1717745.18235339,78646.5748594341,1497737.45204277,1661282.79822463,1716145.68493791,1768107.46222497,1992039.29693165
"Cml Pop Growth","Juvenile Male",1556176.10448677,80019.8146861802,1360561.05733162,1496891.91496652,1554754.08392037,1606846.94733093,1865928.05587907
"Cml Pop Growth","Juvenile Combined",3273921.28684016,157269.562008672,2869878.52790159,3155510.73265934,3270787.61670832,3374113.65772109,3857967.35281072
"Cml Pop Growth","Adult Female",-370111.52327673,14828.5325525186,-402361.501701877,-381305.162636654,-371157.360319698,-360581.108040681,-318563.515342185
"Cml Pop Growth","Adult Male",1583899.50412119,14043.2729094846,1553907.1147187,1573846.41458787,1582859.6400115,1593233.45950943,1635538.12890493
"Cml Pop Growth","Oxen",-3973784.38918088,764.778587871502,-3975546.30362792,-3974341.63189821,-3973864.2496787,-3973298.14330733,-3971109.19664807
"Total Number Increase","Overall",9023925.51734505,458520.693923508,7769621.7734187,8676068.48625546,9007013.21111512,9336595.80304322,10581392.0410214
"Total Number Increase","Neonatal Female",1136490.57630095,155150.614405517,708620.611100209,1024010.35649912,1126091.5807139,1237816.84174088,1624218.41947452
"Total Number Increase","Neonatal Male",805537.5936971,155117.584598295,346201.997409902,697237.151411924,799349.590960854,910874.374636505,1280149.93105644
"Total Number Increase","Neonatal Combined",1942028.16999805,307722.320402423,1054822.60851011,1714407.05057956,1925109.98710643,2155181.69040354,2890579.06850601
"Total Number Increase","Juvenile Female",1814843.68794994,79176.4356535289,1593698.7905437,1757909.27771813,1813018.24178326,1865554.40323151,2091039.61101618
"Total Number Increase","Juvenile Male",1556176.10448677,80019.8146861802,1360561.05733162,1496891.91496652,1554754.08392037,1606846.94733093,1865928.05587907
"Total Number Increase","Juvenile Combined",3371019.7924367,157797.528259754,2965839.86640252,3252488.26813222,3367597.11565353,3471789.23307566,3956967.66689525
"Total Number Increase","Adult Female",793297.351748077,15080.9255571834,760538.408378503,781856.728835082,792211.547021098,803042.898891098,845684.523586576
"Total Number Increase","Adult Male",2421693.89193856,15050.1974172231,2389620.93118867,2410865.12684643,2420548.8530737,2431703.1401365,2476939.78190766
"Total Number Increase","Oxen",495886.311223661,802.233478232437,494036.451707432,495306.017419602,495802.767585211,496401.184971344,498680.933197108
"Total Mortality","Overall",2417151.69892978,65805.7997351135,2239031.73948156,2371853.23415252,2414792.31282103,2457340.67888055,2672095.0142222
"Total Mortality","Neonatal Female",666612.274685872,42462.235511808,549505.188019806,635740.015181232,666402.991445788,693904.16581328,812195.037753728
"Total Mortality","Neonatal Male",708234.183136446,42188.0150510897,587251.004918656,679206.409556182,706842.799256988,735647.980978099,869796.662515018
"Total Mortality","Neonatal Combined",1374846.45782232,63351.7773155387,1216906.46102778,1332261.95752166,1373223.27045817,1413175.20186349,1618332.52632051
"Total Mortality","Juvenile Female",393801.425805733,8734.2508070623,362736.554793348,387508.981974368,394038.850605465,399574.125547564,421616.600165501
"Total Mortality","Juvenile Male",465487.777776833,10333.169227107,432211.622977752,458359.408833786,465518.324856203,472787.724021148,493291.898903434
"Total Mortality","Juvenile Combined",859289.203582566,13856.6224709585,815016.111804798,850177.645949618,858880.790095595,868599.987338371,908518.055627276
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",28889.4616488745,35.7122678108957,28807.1108886603,28863.635807711,28885.7501138359,28912.3921058511,29013.8501035421
"Total Mortality","Oxen",154126.575876019,1.31211332403418,154123.543287426,154125.642455294,154126.417843585,154127.422216893,154131.362809631
"Value of Total Mortality","Overall",33452194113.69,804908068.195957,31212407458.9119,32892263516.1729,33428033778.4301,33976411987.9489,36527487115.0185
"Value of Total Mortality","Neonatal Female",7399120705.92367,471313262.485721,6099280449.95238,7056451386.41995,7396797748.46562,7702049416.3795,9015029199.58073
"Value of Total Mortality","Neonatal Male",8728209601.02968,519921018.760492,7237224609.30391,8370474125.82605,8711062320.61796,9066054595.26953,10719289977.0619
"Value of Total Mortality","Neonatal Combined",16127330306.9534,742531394.247823,14278843442.8889,15622433704.2095,16101783046.299,16572531157.6221,19027728659.2323
"Value of Total Mortality","Juvenile Female",6375138215.4805,141396278.567978,5872237937.89815,6273271648.95902,6378981817.39479,6468590794.16364,6825430086.99518
"Value of Total Mortality","Juvenile Male",9545058994.27252,211886787.536285,8862714847.28601,9398888234.60341,9545685377.367,9694748032.05948,10115196362.2284
