"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549238.88955239,378.891616167842,6548038.11934229,6548981.31506205,6549244.81642843,6549497.06580105,6550394.67481476
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93069.3007438451,125.070145166748,92535.5477251035,92986.1670171849,93071.9677086719,93154.7724667097,93444.0133340425
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93069.3007438451,125.070145166748,92535.5477251035,92986.1670171849,93071.9677086719,93154.7724667097,93444.0133340425
"Num Offtake","Adult Female",1151740.27660237,62.1626798608323,1151485.32018206,1151700.49855627,1151741.38161034,1151783.29118049,1151919.95303777
"Num Offtake","Adult Male",834773.032433308,270.382139823038,833940.607838563,834581.143380529,834777.909933076,834954.647005409,835664.184420937
"Num Offtake","Oxen",4469656.27977287,11.4100907349997,4469622.40583373,4469648.14832248,4469656.32152102,4469663.9757829,4469694.22124731
"Cml Pop Growth","Overall",-2255928.63049596,74872.8826537964,-2493869.74414899,-2305594.96710039,-2257913.38610878,-2206461.23653803,-1994845.74223617
"Cml Pop Growth","Neonatal Female",-306612.34933216,29227.7384585658,-414609.865781149,-326056.898365856,-305250.914650823,-287724.657243969,-207393.299586454
"Cml Pop Growth","Neonatal Male",-636065.796794629,29748.7877380846,-737489.221181137,-657320.267380026,-635588.450040139,-615635.293390469,-534652.763209755
"Cml Pop Growth","Neonatal Combined",-942678.146126789,49826.0469127065,-1115011.25684294,-976390.754415716,-943743.335227073,-909326.894435535,-770147.519307862
"Cml Pop Growth","Juvenile Female",1046790.73153648,16040.3949807976,988852.744408477,1036884.61393695,1047109.06251,1057406.96882036,1094339.14408468
"Cml Pop Growth","Juvenile Male",882396.842953756,17796.4882339904,824627.203779057,870672.015477294,882751.449777876,894361.352025166,935200.408138933
"Cml Pop Growth","Juvenile Combined",1929187.57449024,28038.313050939,1841939.83910618,1911699.62787365,1929370.31971946,1946682.5840135,2025827.74600132
"Cml Pop Growth","Adult Female",-775248.208776188,3211.71815250057,-788945.5305887,-777395.703203468,-775189.018350343,-773054.927814243,-765609.002288839
"Cml Pop Growth","Adult Male",1508923.77624217,3312.68318966989,1498291.27329066,1506760.832427,1508952.37466524,1511142.19796625,1519407.39820367
"Cml Pop Growth","Oxen",-3976113.6263254,198.377365694262,-3976724.43098773,-3976254.60885156,-3976110.60693577,-3975978.75195803,-3975461.46510166
"Total Number Increase","Overall",4293310.25905643,75100.1997434532,4055135.80388067,4243402.06317107,4291359.5584415,4343210.82016791,4554829.08662855
"Total Number Increase","Neonatal Female",-306612.34933216,29227.7384585658,-414609.865781149,-326056.898365856,-305250.914650823,-287724.657243969,-207393.299586454
"Total Number Increase","Neonatal Male",-636065.796794629,29748.7877380846,-737489.221181137,-657320.267380026,-635588.450040139,-615635.293390469,-534652.763209755
"Total Number Increase","Neonatal Combined",-942678.146126789,49826.0469127065,-1115011.25684294,-976390.754415716,-943743.335227073,-909326.894435535,-770147.519307862
"Total Number Increase","Juvenile Female",1139860.03228033,16151.0468275527,1081388.29213358,1129916.47482154,1140144.78165716,1150581.91767841,1187736.81348804
"Total Number Increase","Juvenile Male",882396.842953756,17796.4882339904,824627.203779057,870672.015477294,882751.449777876,894361.352025166,935200.408138933
"Total Number Increase","Juvenile Combined",2022256.87523409,28127.0305098207,1934793.4008559,2004718.8568269,2022484.04658554,2039749.54400464,2119232.93046587
"Total Number Increase","Adult Female",376492.067826177,3270.60475492804,362539.789593359,374312.544504638,376559.576540264,378736.658034035,386302.133287874
"Total Number Increase","Adult Male",2343696.80867548,3569.76784278833,2332286.09677458,2341348.58812774,2343728.60870288,2346108.24913163,2354953.3522941
"Total Number Increase","Oxen",493542.653447469,209.398466588961,492897.974846005,493394.083605887,493546.416698235,493683.410986877,494232.756145646
"Total Mortality","Overall",2462176.95172127,47910.5087468511,2317418.72000082,2429598.02283061,2461073.00390792,2492651.33280308,2615436.08104762
"Total Mortality","Neonatal Female",557889.219959859,32803.4852693061,476879.759286126,534777.672133613,556702.960369747,579786.318384887,696589.672673727
"Total Mortality","Neonatal Male",597464.697876073,33772.3016013813,502753.877099367,572789.568713347,596079.52065981,619953.820564279,724418.738451631
"Total Mortality","Neonatal Combined",1155353.91783593,46314.2644066365,1018129.41360617,1121945.51114226,1154421.66852248,1187401.17229081,1295164.04838448
"Total Mortality","Juvenile Female",377531.39875661,8084.8340528827,352245.623693442,371930.979031071,377182.885785809,383398.330419468,402570.517856731
"Total Mortality","Juvenile Male",448893.523484038,9218.09683592979,419734.199353773,442385.955039326,449018.076683739,455433.405378184,476450.180539223
"Total Mortality","Juvenile Combined",826424.922240648,12610.2768527831,780925.418279777,817641.374370387,826518.413360982,835112.619090049,862085.584683639
"Total Mortality","Adult Female",326272.033031832,17.6098243231796,326199.807417014,326260.764463533,326272.346065251,326284.218464727,326322.93287189
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",154126.078612858,0.39345140465434,154124.910545991,154125.798218016,154126.080052449,154126.343992514,154127.386939562
"Value of Total Mortality","Overall",34452150128.6493,529917132.432898,32890088707.9024,34093468268.9151,34433495299.0333,34789808743.4417,36183742759.633
"Value of Total Mortality","Neonatal Female",6155057893.59019,361912981.503102,5261299952.88071,5900073732.23417,6141970176.18549,6396643326.11995,7685306706.03803
"Value of Total Mortality","Neonatal Male",5864471792.13057,331495251.185047,4934828687.14208,5622270705.6791,5850875452.89789,6085215923.29613,7110601299.86391
"Value of Total Mortality","Neonatal Combined",12019529685.7208,482818304.133713,10596098940.4312,11676673070.1739,12010122252.1916,12355626804.2736,13498408885.2658
"Value of Total Mortality","Juvenile Female",6088200703.78507,130378804.340136,5680433630.5235,5997886416.21372,6082580464.19414,6182812854.18238,6491990118.46576
"Value of Total Mortality","Juvenile Male",8407584082.06344,172651018.939101,7861442387.92945,8285700102.88714,8409916910.32758,8530073278.35444,8923708505.98886
"Value of Total Mortality","Juvenile Combined",14495784785.8485,222326520.839768,13709323200.3399,14343524058.6988,14497771153.4161,14654955012.1924,15138146521.0772
"Value of Total Mortality","Adult Female",7396559464.44483,399213.231837485,7394922115.84988,7396304006.95211,7396566560.88604,7396835707.18059,7397713359.52504
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",5754848344.4549,14690.9152888109,5754804730.50108,5754837874.91073,5754848398.20719,5754858253.35344,5754897195.51137
"Population Liveweight (kg)","Overall",11295007481.4278,906554686.375916,8569980352.5815,10629075110.343,11320548795.7905,11944524567.8283,13995727972.8179
"Population Liveweight (kg)","Neonatal Female",324590645.227691,69221798.5138982,121056871.161517,276806424.853417,330015304.191463,377674143.683546,458601007.903057
"Population Liveweight (kg)","Neonatal Male",355909293.645721,97803404.4044158,111560291.637621,287722804.724221,355847894.466026,428290619.247449,581873837.198983
"Population Liveweight (kg)","Juvenile Female",931305380.211854,188238410.168521,518502109.438387,794742710.474503,928489554.139725,1060355207.66625,1484973900.69232
"Population Liveweight (kg)","Juvenile Male",1174906935.32693,268541721.937504,646064020.424534,950972045.034522,1157335463.12181,1377848059.87343,1866834877.11952
"Population Liveweight (kg)","Juvenile Combined",2106212315.53878,325967537.724132,1234683535.02877,1862048396.81794,2093796472.96253,2331726767.60774,3091743295.98461
"Population Liveweight (kg)","Adult Female",3857460670.54172,585300478.675362,2472891128.07904,3421107024.92388,3877998983.42186,4284598440.33261,5267426850.08174
"Population Liveweight (kg)","Adult Male",1102738777.74436,193986321.35133,657340031.121154,964592213.329086,1095611968.87775,1245616271.40972,1615936592.46766
"Population Liveweight (kg)","Oxen",3548095778.7295,566322014.275819,2302350406.52668,3108693644.59745,3526425813.78072,3966037960.852,5177829978.26721
"Offtake Liveweight (kg)","Overall",1736528669.36779,200636172.756746,1250761886.94769,1588193781.65483,1736701294.29732,1862868991.28659,2300819766.4777
"Offtake Liveweight (kg)","Juvenile Female",15670875.263106,3237074.09525709,8856060.60269347,13126648.2851982,15348343.8352794,18098911.3378465,24994080.5456576
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",277148070.254153,42714800.8053333,180062489.741197,246049692.459055,276877551.669786,307610929.771076,380906883.305848
"Offtake Liveweight (kg)","Adult Male",252702784.301063,44992096.1843342,147141888.390187,220150977.969626,251963735.475215,285915880.393366,367942148.76754
"Offtake Liveweight (kg)","Oxen",1191006939.54947,195234491.077269,777812068.095781,1040313948.67057,1191649383.94939,1320988257.08345,1720781888.42466
"Meat (kg)","Overall",5726160841.20452,218307449.754651,5091200819.82454,5574187490.38023,5714899054.89297,5875700074.02023,6491448303.25608
"Manure","Overall",30132598610.5089,934532474.963327,27297661497.676,29503645887.8593,30146137125.5591,30782184234.5313,33257578011.9551
"Manure","Neonatal Female",938333887.581442,23688956.8010496,851000311.192633,922238388.947296,937401918.493707,953362524.796119,1016665822.45327
"Manure","Neonatal Male",998687761.312467,25658972.0375887,898740917.088413,982245746.806073,997920483.593997,1015920848.87438,1080354766.43725
"Manure","Neonatal Combined",1937021648.89391,34850658.9829947,1813846193.0503,1912285230.82134,1937871189.73712,1959418335.64627,2059105364.45831
"Manure","Juvenile Female",2115484000.95114,69976439.6683172,1903693168.52442,2068007584.75567,2113274603.01596,2164249915.45064,2375099301.44725
"Manure","Juvenile Male",2508211134.93421,81134878.1485022,2191536418.1294,2454702257.66804,2509949098.35275,2563768042.48081,2815754489.51699
"Manure","Juvenile Combined",4623695135.88535,106888483.888414,4332009237.23195,4548703726.31451,4626167466.02095,4689733200.58027,5075162764.46964
"Manure","Adult Female",11188740576.1311,646128661.165203,9161209700.56957,10726136861.1973,11120327461.8721,11512858993.334,12687985252.2295
"Manure","Adult Male",2065164645.52386,123692532.667183,1738663914.11346,1978898623.6583,2058006900.37118,2146759733.56425,2433321063.19933
"Manure","Oxen",10317976604.0746,640518703.509133,8533157637.98644,9914459002.15223,10314128592.473,10708904049.4567,12138236594.0749
"Hides","Overall",653411.516942669,6302.51019392692,630662.890831489,649015.863429954,653457.653878318,657759.619727021,671243.566139904
"Hides","Juvenile Female",188765.699378305,4042.41702644135,176122.811846721,185965.489515536,188591.442892904,191699.165209734,201285.258928365
"Hides","Juvenile Male",224446.761742019,4609.0484179649,209867.099676886,221192.977519663,224509.03834187,227716.702689092,238225.090269611
"Hides","Juvenile Combined",413212.461120324,6305.13842639157,390462.709139889,408820.687185193,413259.206680491,417556.309545024,431042.792341819
"Hides","Adult Female",163136.016515916,8.80491216158982,163099.903708507,163130.382231766,163136.173032625,163142.109232363,163161.466435945
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",77063.0393064288,0.19672570232717,77062.4552729954,77062.8991090082,77063.0400262245,77063.1719962569,77063.6934697812
"Milk","Overall",1314324293.03424,212566253.469854,577632031.150363,1165755258.42063,1319828140.13348,1463339067.31084,1913024221.31952
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",107960915668.511,2568152021.67301,100137006337.104,106181209007.536,107975376177.566,109726523052.543,115499511729.84
"Cml Dry Matter","Neonatal Female",3122563936.93003,186869224.772986,2598545639.36545,2985494717.10066,3115629435.45258,3254228544.46729,3672748945.34737
"Cml Dry Matter","Neonatal Male",3559498854.56128,277538009.419764,2624687373.83101,3368984247.86843,3551551332.29133,3742630558.0164,4446016065.29631
"Cml Dry Matter","Neonatal Combined",6682062791.49131,338434536.764166,5638686759.96687,6450251938.45573,6669786990.76169,6905489013.64518,7736654493.00938
"Cml Dry Matter","Juvenile Female",8075292077.20202,488788422.030481,6614226594.80443,7749226422.25681,8052086216.47475,8422537567.17694,9521276892.20459
"Cml Dry Matter","Juvenile Male",10442679603.6931,626810084.011947,8726234384.51081,9988747704.04725,10460149838.7429,10866254354.5269,12629507989.895
"Cml Dry Matter","Juvenile Combined",18517971680.8951,797637471.447305,16267870379.9613,17983816282.7866,18521284348.1453,19047680689.5904,21133836486.3352
"Cml Dry Matter","Adult Female",36759746781.198,1584181041.5217,31808590338.3637,35747890856.5259,36734189303.925,37838083580.3378,41847868976.5091
"Cml Dry Matter","Adult Male",8543199248.20572,426739230.504075,7302367220.69571,8254967918.73888,8546391578.0287,8819948135.32897,9951805546.05446
"Cml Dry Matter","Oxen",37457935166.7205,1767538730.07893,32526124454.7292,36244569676.5058,37465900389.7772,38546759930.681,43140994513.3904
"Value of Offtake","Overall",210212084387.325,29084098761.0476,139895075817.763,188901377335.486,210367801077.978,232571362946.065,284440090353.846
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1525699294.03061,77085991.4662382,1276696122.04153,1470636190.13657,1540536733.25872,1585935407.96007,1660254023.29266
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1525699294.03061,77085991.4662382,1276696122.04153,1470636190.13657,1540536733.25872,1585935407.96007,1660254023.29266
"Value of Offtake","Adult Female",26783340737.284,2021714344.09337,21864172682.7676,25323989980.2669,26699137690.6668,28277044053.7472,31495852878.6936
"Value of Offtake","Adult Male",33373260870.9859,6097885047.6529,17301079011.882,29031517440.6321,33526462366.2243,37869673408.6223,47821277012.9372
"Value of Offtake","Oxen",148529783485.024,28540975680.3672,77842332497.2704,126220515345.714,149615786488.834,170357113177.508,214695967437.245
"Value of draught","Overall",162669417224.775,598156.041825124,162667608304.098,162668995158.256,162669421781.001,162669817531.005,162671414605.719
"Value of Herd Increase","Overall",-64638973776.263,27440488023.2251,-133036070332.822,-84872016829.0563,-64533888176.7199,-46358233433.8659,9292664348.57213
"Value of Herd Increase","Neonatal Female",-3414371305.66525,329102809.490178,-4697658152.90185,-3644344613.0253,-3398413668.81582,-3199928948.28514,-2322295853.77881
"Value of Herd Increase","Neonatal Male",-6930011054.177,872444787.966365,-10363587598.6938,-7443219259.36502,-6734994256.40562,-6265215061.23836,-5259485400.94808
"Value of Herd Increase","Neonatal Combined",-10344382359.8423,979839887.658499,-13772614786.5611,-10919210418.0588,-10193454678.8922,-9628096024.74582,-7658716517.21646
"Value of Herd Increase","Juvenile Female",17243490772.6746,869840616.003274,14268631094.4086,16679731175.3959,17362072391.8636,17908121852.2681,19197116496.485
"Value of Herd Increase","Juvenile Male",17717712099.1274,591911451.888743,15442065770.7044,17364468130.298,17787763386.8029,18146389395.4764,19342083545.395
"Value of Herd Increase","Juvenile Combined",34961202871.802,1082686457.89778,30813959863.1869,34277956792.0566,35045389710.768,35755904783.7066,37871282214.5829
"Value of Herd Increase","Adult Female",-18071432416.1022,1363964989.17527,-21392433424.3724,-19068148422.4873,-17975871141.5683,-17127451431.4081,-14556987609.1975
"Value of Herd Increase","Adult Male",60160425568.7154,11502921771.5049,32602020064.9848,52033023994.0247,60314531656.2309,68648800231.6329,86190861234.6171
"Value of Herd Increase","Oxen",-131344787440.836,24963129505.3422,-191792201301.521,-149235377725.319,-131637386301.945,-113415785224.6,-68385415630.8777
"Value of Herd Increase plus Offtake","Overall",145573110611.062,40047901622.8619,22227285489.5001,116427122428.054,145958754606.053,174846220624.248,259001313239.099
"Value of Herd Increase plus Offtake","Neonatal Female",-3414371305.66525,329102809.490178,-4697658152.90185,-3644344613.0253,-3398413668.81582,-3199928948.28514,-2322295853.77881
"Value of Herd Increase plus Offtake","Neonatal Male",-6930011054.177,872444787.966365,-10363587598.6938,-7443219259.36502,-6734994256.40562,-6265215061.23836,-5259485400.94808
"Value of Herd Increase plus Offtake","Neonatal Combined",-10344382359.8423,979839887.658499,-13772614786.5611,-10919210418.0588,-10193454678.8922,-9628096024.74582,-7658716517.21646
"Value of Herd Increase plus Offtake","Juvenile Female",18769190066.7052,871610066.720219,15804587534.6735,18233665368.9429,18888190180.1649,19423205888.6432,20784705972.2275
"Value of Herd Increase plus Offtake","Juvenile Male",17717712099.1274,591911451.888743,15442065770.7044,17364468130.298,17787763386.8029,18146389395.4764,19342083545.395
"Value of Herd Increase plus Offtake","Juvenile Combined",36486902165.8326,1086751252.71692,32426128234.9041,35798239411.2202,36577985631.0126,37293397074.8496,39388221162.3796
"Value of Herd Increase plus Offtake","Adult Female",8711908321.18179,2422010926.46283,2043454519.01146,6979242101.14117,8645032627.43791,10338500784.2317,15409924185.322
"Value of Herd Increase plus Offtake","Adult Male",93533686439.7012,12927654441.6919,52562928151.526,84917999238.1834,93339721109.2112,102406598008.664,128529573976.222
"Value of Herd Increase plus Offtake","Oxen",17184996044.1883,37679171673.6936,-99582436853.5169,-9526444628.55952,16214207861.4701,45161492592.3087,114875478000.143
"Value of Manure","Overall",15066299305.2544,467266237.481663,13648830748.838,14751822943.9297,15073068562.7796,15391092117.2657,16628789005.9775
"Value of Manure","Neonatal Female",469166943.790721,11844478.4005248,425500155.596317,461119194.473648,468700959.246854,476681262.39806,508332911.226637
"Value of Manure","Neonatal Male",499343880.656233,12829486.0187943,449370458.544206,491122873.403037,498960241.796999,507960424.437189,540177383.218624
"Value of Manure","Neonatal Combined",968510824.446955,17425329.4914974,906923096.525149,956142615.410669,968935594.86856,979709167.823133,1029552682.22916
"Value of Manure","Juvenile Female",1057742000.47557,34988219.8341586,951846584.26221,1034003792.37783,1056637301.50798,1082124957.72532,1187549650.72362
"Value of Manure","Juvenile Male",1254105567.46711,40567439.0742511,1095768209.0647,1227351128.83402,1254974549.17637,1281884021.24041,1407877244.7585
"Value of Manure","Juvenile Combined",2311847567.94267,53444241.944207,2166004618.61598,2274351863.15726,2313083733.01047,2344866600.29013,2537581382.23482
"Value of Manure","Adult Female",5594370288.06556,323064330.582602,4580604850.28478,5363068430.59865,5560163730.93606,5756429496.66702,6343992626.11474
"Value of Manure","Adult Male",1032582322.76193,61846266.3335914,869331957.056728,989449311.829148,1029003450.18559,1073379866.78213,1216660531.59966
"Value of Manure","Oxen",5158988302.0373,320259351.754566,4266578818.99322,4957229501.07611,5157064296.23651,5354452024.72835,6069118297.03745
"Value of Hides","Overall",37075630.2250837,336642.99000288,35845173.9253662,36843880.9795688,37077769.8247188,37307205.848811,38056936.7093648
"Value of Hides","Juvenile Female",10745134.3346614,230107.027542034,10025461.6115327,10585737.6262563,10735215.1101917,10912116.3898158,11457786.8431375
"Value of Hides","Juvenile Male",11347669.9287493,233026.129344677,10610545.4921847,11183163.7933607,11350818.5342088,11512992.9223442,12044280.2210408
"Value of Hides","Juvenile Combined",22092804.2634107,336892.330493941,20862266.8547197,21861330.1405418,22095063.3825079,22325201.0951492,23073960.9085767
"Value of Hides","Adult Female",14982825.961673,808.665488727585,14979509.2697496,14982308.4947112,14982840.336565,14983385.5322211,14985163.3469463
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",40744053084.0615,6589553857.56547,17906592965.6613,36138413011.0394,40914672344.1379,45363511086.6361,59303750860.9051
"Total Production Value","Overall",364089955855.377,40108571039.5732,236814829445.37,335762419917.745,363599934204.517,392351769191.891,470015437266.096
"Total Production Value","Neonatal Female",-2945204361.87453,331530399.587225,-4220536929.5041,-3174081401.69861,-2930918790.12745,-2725847400.82885,-1849790670.50222
"Total Production Value","Neonatal Male",-6430667173.52076,873564555.864564,-9857803417.59529,-6944293936.29267,-6240840357.96234,-5768023463.15201,-4788709271.11074
"Total Production Value","Neonatal Combined",-9375871535.3953,982561592.048376,-12800910016.3133,-9948072388.23042,-9222313344.69503,-8657485047.18446,-6664188249.32687
"Total Production Value","Juvenile Female",19837677201.5155,871713308.615037,16828832975.5666,19309028447.3353,19962222221.1199,20487811389.9088,21803670596.3374
"Total Production Value","Juvenile Male",18983165336.5232,593290221.262924,16706884545.1392,18619533323.3817,19046058144.4661,19410825945.4296,20660494854.2015
"Total Production Value","Juvenile Combined",38820842538.0387,1085775036.96079,34708628805.6346,38139791557.5241,38912354034.9832,39625421241.1269,41748816596.1884
"Total Production Value","Adult Female",55065314519.2705,7039855012.22934,31405382288.6107,50165735291.3044,55452719974.8454,60047951776.3084,73623356490.0747
"Total Production Value","Adult Male",94566268762.4632,12928686692.3042,53622164222.1649,85930929723.7408,94372392574.8463,103489636729.379,129552610826.426
"Total Production Value","Oxen",185013401571,37673546895.9334,68069752907.8547,158200459071.303,183896247754.517,213007439750.048,282382185179.104
"Feed Cost","Overall",57241803594.8865,2107020186.61116,50536210797.7768,55747664478.3296,57127261012.6653,58689993467.8012,66135435178.1507
"Feed Cost","Neonatal Female",1663160817.07566,147064364.496369,1188387444.32136,1554621899.6509,1660809560.1557,1763098105.15969,2094143140.60956
"Feed Cost","Neonatal Male",1888083109.14518,175379754.162811,1404046872.95433,1763633160.29869,1872209604.38893,2005457831.59653,2501226141.46615
"Feed Cost","Neonatal Combined",3551243926.22084,228389903.87772,2760859335.76163,3388152204.43666,3545806480.34592,3707699912.56761,4230540211.28977
"Feed Cost","Juvenile Female",4255741506.66409,343259104.028706,3290313205.70958,4036056881.92984,4236939739.56821,4486466333.87887,5602173464.61162
"Feed Cost","Juvenile Male",5516187411.48932,490176434.980357,4122795868.92132,5187912558.53449,5495368090.15056,5829056900.78654,7694732636.17389
"Feed Cost","Juvenile Combined",9771928918.15341,614922611.662587,8136880528.00396,9335839572.32283,9734999341.83658,10178498611.7633,11885966526.8456
"Feed Cost","Adult Female",19471107380.4987,1361627136.97701,15589996190.1842,18468310731.0823,19443349490.2127,20367540393.9026,24356845631.6453
"Feed Cost","Adult Male",4529233371.56383,337936995.78485,3415258711.03959,4284908538.0704,4522480397.36671,4760442565.53247,5877982027.57613
"Feed Cost","Oxen",19918289998.4497,1424455110.44277,15554231109.1065,18939917018.1799,19811362230.0598,20885436158.0651,25110385908.5528
"Labour Cost","Overall",33728863122.7602,639942328.336196,31441916444.4387,33280006815.0305,33690300376.5932,34168706292.4961,35902146347.2159
"Labour Cost","Neonatal Female",1587640702.20311,78878118.3887123,1358531208.37679,1533237108.90691,1585075319.16111,1639035242.76126,1846021863.81526
"Labour Cost","Neonatal Male",1690932618.91462,86232917.6303605,1442746391.72507,1627860985.50514,1689566439.02861,1749926660.19212,1977951282.29442
