"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556951.45121973,317.042867902411,6555959.49912156,6556749.19523421,6556964.92227329,6557153.26654706,6557919.60065679
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95747.7595638621,112.179576513614,95402.301012736,95676.7005207574,95746.9735548672,95826.0757384276,96100.3182035211
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95747.7595638621,112.179576513614,95402.301012736,95676.7005207574,95746.9735548672,95826.0757384276,96100.3182035211
"Num Offtake","Adult Female",1153136.45319744,49.591309163003,1153000.07267034,1153105.57616456,1153136.16336182,1153171.4658004,1153278.56219718
"Num Offtake","Adult Male",838309.771157938,207.031146545085,837722.194698751,838175.480446828,838305.848386424,838452.520724571,838916.560765551
"Num Offtake","Oxen",4469757.46730049,7.48913146627519,4469734.90499184,4469752.63265401,4469757.34312942,4469762.55300805,4469779.53276685
"Cml Pop Growth","Overall",-1467575.61620835,76548.2445366908,-1710118.99238306,-1519505.92146159,-1467572.95207091,-1413941.44746437,-1222278.73070703
"Cml Pop Growth","Neonatal Female",-305268.92579148,29463.8558661854,-398488.163404765,-325972.41563524,-303792.700730555,-284676.028119195,-224400.468556523
"Cml Pop Growth","Neonatal Male",-635297.561230773,30241.1272757326,-728749.887771874,-654691.414855635,-634402.513750223,-616135.583757334,-545280.811071027
"Cml Pop Growth","Neonatal Combined",-940566.487022253,51484.7661670048,-1114906.09092459,-972525.545354255,-939962.301744515,-905344.642160218,-780988.685658683
"Cml Pop Growth","Juvenile Female",1348753.17751833,15433.3708142525,1301296.99562483,1338284.96283451,1348555.0373892,1359884.54864149,1395431.28346358
"Cml Pop Growth","Juvenile Male",1243325.15074205,15784.1852271742,1191261.84097804,1232798.89447682,1242940.3958818,1253392.03175692,1293470.85141313
"Cml Pop Growth","Juvenile Combined",2592078.32826038,26600.806466751,2502505.90237533,2574319.05054797,2592642.32241765,2610465.77465989,2674611.93254202
"Cml Pop Growth","Adult Female",-706846.443062198,2893.69372856622,-715800.972764758,-708705.651397179,-706863.239104283,-704824.05654931,-697723.850502975
"Cml Pop Growth","Adult Male",1561233.26726955,2812.0588526045,1553084.93615069,1559514.0056734,1561177.22450962,1563096.67399429,1570040.99933863
"Cml Pop Growth","Oxen",-3973474.28165383,152.98382629876,-3973906.81962184,-3973573.31836147,-3973475.73543123,-3973368.58593096,-3973024.46759826
"Total Number Increase","Overall",5089375.83501139,76758.8863951211,4845984.17979878,5037273.42213719,5089519.00319582,5143019.54850423,5335151.98180291
"Total Number Increase","Neonatal Female",-305268.92579148,29463.8558661854,-398488.163404765,-325972.41563524,-303792.700730555,-284676.028119195,-224400.468556523
"Total Number Increase","Neonatal Male",-635297.561230773,30241.1272757326,-728749.887771874,-654691.414855635,-634402.513750223,-616135.583757334,-545280.811071027
"Total Number Increase","Neonatal Combined",-940566.487022253,51484.7661670048,-1114906.09092459,-972525.545354255,-939962.301744515,-905344.642160218,-780988.685658683
"Total Number Increase","Juvenile Female",1444500.9370822,15538.4580519193,1396699.29663756,1433914.22108758,1444260.47920496,1455679.15005973,1491531.6016671
"Total Number Increase","Juvenile Male",1243325.15074205,15784.1852271742,1191261.84097804,1232798.89447682,1242940.3958818,1253392.03175692,1293470.85141313
"Total Number Increase","Juvenile Combined",2687826.08782424,26689.6860442858,2597971.45575547,2670079.35120856,2688445.56115108,2706319.27522585,2770609.4011133
"Total Number Increase","Adult Female",446290.010135245,2942.02196190196,437201.712564025,444415.278145927,446275.659187005,448344.892413408,455554.711694204
"Total Number Increase","Adult Male",2399543.03842749,3013.79701051862,2390898.09547635,2397674.95201001,2399490.48056202,2401532.47734657,2408940.55249276
"Total Number Increase","Oxen",496283.185646663,160.372660614477,495828.085370008,496179.144958738,496280.178452536,496393.70007616,496753.271654226
"Total Mortality","Overall",1669931.74372803,46626.5604051632,1524678.97363986,1640579.9008362,1668437.18775015,1701065.18785898,1821013.52537543
"Total Mortality","Neonatal Female",560054.355016044,32394.0636753021,472631.611157491,538499.731122075,559436.327709656,580626.317655454,667039.116219152
"Total Mortality","Neonatal Male",600173.036904971,32879.5708394024,512137.682579659,578522.438173607,599183.503162225,621919.15658557,720602.077446154
"Total Mortality","Neonatal Combined",1160227.39192101,46632.1133032534,1014947.5143751,1130866.41066154,1158727.48888469,1191353.59973104,1311279.68317419
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",326667.550480862,14.0485295079338,326628.915770635,326658.80344605,326667.468374454,326677.46906527,326707.807987869
"Total Mortality","Adult Male",28907.2334882048,7.13900505327878,28886.9722309914,28902.6027740286,28907.0982202215,28912.1558870542,28928.1572677776
"Total Mortality","Oxen",154129.567837948,0.258245912629625,154128.789827305,154129.401126,154129.563556187,154129.743207174,154130.328716098
"Value of Total Mortality","Overall",21235572656.0087,491189348.943736,19703789722.4452,20911673260.4157,21226686373.328,21557792927.9191,22837108152.378
"Value of Total Mortality","Neonatal Female",6173885916.18361,357103291.317454,5210161516.52782,5936273642.13247,6167072952.3194,6400665601.53053,7353256640.68984
"Value of Total Mortality","Neonatal Male",6026446608.38621,330149750.132285,5142467605.8842,5809049009.24211,6016510520.12305,6244803350.75258,7235696505.15478
"Value of Total Mortality","Neonatal Combined",12200332524.5698,491329299.061047,10667891424.6761,11875773866.3983,12191826171.6095,12522776134.2486,13801141712.2999
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",7688179832.09121,330634.68065451,7687270557.2044,7687973969.04623,7688177899.70206,7688413267.76761,7689127299.79348
"Value of Total Mortality","Adult Male",818377812.047838,202108.698436489,817804206.021016,818246714.281693,818373982.545571,818517167.54867,818970174.404257
"Value of Total Mortality","Oxen",5631483408.73525,9435.61701201047,5631454982.30099,5631477317.52523,5631483252.29111,5631489816.25914,5631511209.19391
"Population Liveweight (kg)","Overall",11420513559.9374,908641924.217526,8593167694.77399,10799430368.2638,11404639576.4698,12025943073.3785,14117593046.1022
"Population Liveweight (kg)","Neonatal Female",328114034.847569,66955475.0590171,116512158.83442,280832464.582997,331624117.915905,377320051.07752,463749336.7997
"Population Liveweight (kg)","Neonatal Male",364970201.632503,96360575.9932559,109251143.489763,293024969.183382,368828393.16226,437661944.645621,574660226.372384
"Population Liveweight (kg)","Juvenile Female",1079592385.90658,222887317.57209,552664897.254903,906714290.64645,1085533521.15749,1237963483.6467,1613129865.58162
"Population Liveweight (kg)","Juvenile Male",1249992173.85628,277266756.067976,728014873.559875,1044045768.29207,1228056459.87236,1445587530.65537,1983026762.01527
"Population Liveweight (kg)","Juvenile Combined",2329584559.76286,354007367.416543,1434592359.728,2075459057.33552,2331269055.45431,2554109056.70283,3355563063.08773
"Population Liveweight (kg)","Adult Female",3874451070.54449,559884208.551649,2553327277.1619,3492934341.9725,3888872497.44639,4256093814.61047,5284398372.4667
"Population Liveweight (kg)","Adult Male",980671889.480821,157177752.25147,669819238.736546,852129362.071531,974263532.015945,1091029321.94052,1417541681.9589
"Population Liveweight (kg)","Oxen",3542721803.66912,566300561.495065,2371404195.34424,3123410265.1289,3509101964.18958,3950973254.22351,5225321148.59158
"Offtake Liveweight (kg)","Overall",1696728416.10388,198642128.642538,1220292843.74858,1550719856.07385,1690865915.93327,1837652891.75594,2338880526.68465
"Offtake Liveweight (kg)","Juvenile Female",17806417.2591612,3749918.38617668,9457023.83115242,15263762.1986129,17696167.5237526,20562700.3326717,27057242.1014161
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",276843672.174118,41232687.2349639,178364311.645716,246785772.279831,275621747.075567,308040132.332247,387525637.993308
"Offtake Liveweight (kg)","Adult Male",221214100.574839,36613679.2430876,146027512.128647,192993979.325932,218172686.26419,246326065.372569,322994677.443642
"Offtake Liveweight (kg)","Oxen",1180864226.09576,191826887.869441,763793392.290512,1034779622.39213,1171617848.38358,1316412876.81655,1724146654.05188
"Meat (kg)","Overall",5629645415.42405,228524031.916257,4960879314.38709,5475644679.21313,5625034527.42427,5778781520.51801,6640828262.21962
"Manure","Overall",30289534962.0454,901795165.281268,27423119279.7106,29688530818.4965,30252589586.5108,30913001143.2818,32835307408.7563
"Manure","Neonatal Female",936702915.941433,23794657.1885428,850779816.068863,919908258.049838,936011736.692909,953336137.081674,1020189407.15068
"Manure","Neonatal Male",997973114.575137,25608479.8046594,931267700.678525,979765968.323984,996551062.028418,1015298320.64909,1085529093.49735
"Manure","Neonatal Combined",1934676030.51657,36149950.7728052,1821911063.73377,1909617450.28023,1933165725.13089,1957600446.11381,2054865410.52438
"Manure","Juvenile Female",2192329687.60369,75936809.3733594,1970619914.64251,2138256323.12478,2193415160.28916,2244620648.40921,2416324366.20999
"Manure","Juvenile Male",2588245995.43578,87212751.2523207,2332985566.91192,2526393680.95465,2588637107.61962,2647639416.93409,2834568518.23695
"Manure","Juvenile Combined",4780575683.03947,117263689.601265,4413942427.08463,4701711505.17411,4781886273.81585,4859706860.73358,5114118052.3115
"Manure","Adult Female",11150324372.4631,659965174.075833,9173281436.03272,10738686982.6425,11132506544.1343,11527532043.1998,12705094494.6435
"Manure","Adult Male",2068256893.4752,124315446.661746,1695096762.18881,1980402756.09707,2063923426.63119,2152138999.4527,2433288249.59086
"Manure","Oxen",10355701982.5511,616947354.704724,8516608674.23723,9938973462.03161,10330611974.2161,10736764934.5509,12153009334.698
"Hides","Overall",254852.175903507,9.23181776243417,254825.166838555,254846.105676043,254852.274921194,254858.191221942,254879.399257503
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",163333.775240431,7.0242647539669,163314.457885318,163329.401723025,163333.734187227,163338.734532635,163353.903993935
"Hides","Adult Male",14453.6167441024,3.56950252663939,14443.4861154957,14451.3013870143,14453.5491101108,14456.0779435271,14464.0786338888
"Hides","Oxen",77064.7839189739,0.129122956314812,77064.3949136525,77064.7005630002,77064.7817780934,77064.8716035871,77065.1643580491
"Milk","Overall",1328560137.28272,214131670.68334,660576423.942544,1178690926.39147,1330340790.78505,1469638898.44499,2051100596.28283
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",108341974421.748,2550341421.26508,98192932085.2041,106609672591.784,108290460993.599,110150880493.552,116550971233.165
"Cml Dry Matter","Neonatal Female",3142074616.26022,189583950.353609,2543679330.59157,3012434160.18073,3143519182.22526,3278280399.39536,3796181516.94241
"Cml Dry Matter","Neonatal Male",3567349903.80853,273719695.738239,2849035828.7299,3371872940.3706,3567296435.30201,3750691687.59974,4434446921.21167
"Cml Dry Matter","Neonatal Combined",6709424520.06876,332816628.062255,5544110527.88942,6473431380.61212,6695240206.31763,6947209927.57162,7612394015.1004
"Cml Dry Matter","Juvenile Female",9161933379.78329,552521811.797356,7521098580.68004,8788523224.80518,9136074245.04348,9547806898.15842,10902433611.9596
"Cml Dry Matter","Juvenile Male",10753762893.5588,693129690.337273,9008103088.26165,10282511432.0962,10768068374.2713,11205053046.3498,13432963638.5388
"Cml Dry Matter","Juvenile Combined",19915696273.3421,909310646.822241,17041693882.7511,19277422568.0375,19920395467.7891,20527479870.0012,23089577154.0705
"Cml Dry Matter","Adult Female",36781181808.8658,1527166813.01093,32079165267.4063,35751903907.5933,36816618461.0537,37835274082.575,41306244956.1178
"Cml Dry Matter","Adult Male",7502700321.43144,362683261.073685,6362061004.71101,7265174483.16501,7488432482.21796,7733585752.15571,8624512276.86091
"Cml Dry Matter","Oxen",37432971498.0396,1761170496.5158,32022653671.0585,36208123564.7303,37386496922.345,38613781693.4301,43692967060.6177
"Value of Offtake","Overall",204355402160.712,28570382686.0457,133056264836.099,184220076854.379,205081013949.795,225172837382.118,274299367606.106
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",2042415657.58432,98810342.7121236,1712073756.57456,1979015192.85033,2053849564.85617,2118763707.36379,2211909818.65414
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",2042415657.58432,98810342.7121236,1712073756.57456,1979015192.85033,2053849564.85617,2118763707.36379,2211909818.65414
"Value of Offtake","Adult Female",26744701708.9631,2012961491.26479,22102605253.1444,25221665402.6804,26692524474.9442,28173797558.5669,31370317743.3472
"Value of Offtake","Adult Male",27639199321.6908,5343381689.5996,14880685117.3509,23771486220.5428,27903660820.3163,31606656755.6353,40210303116.1677
"Value of Offtake","Oxen",147929085472.474,27933461469.5092,83379242280.3273,127356315648.413,149344509915.768,168864644624.887,213408115642.107
"Value of draught","Overall",162675553143.024,414763.508761042,162674325179.367,162675282724.166,162675545856.656,162675834959.541,162676761556.728
"Value of Herd Increase","Overall",-52255209174.0061,27607036598.9988,-119594825154.049,-72578426349.6396,-52845969993.1137,-31603304000.5152,22354708749.4372
