"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549104.42959376,334.751470665076,6548118.68522951,6548873.2949004,6549110.50923107,6549328.04467067,6550225.17184605
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94065.7742051593,99.5391189915126,93737.8110805877,93997.8690745151,94061.9657988275,94133.6136613695,94362.2589452083
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94065.7742051593,99.5391189915126,93737.8110805877,93997.8690745151,94061.9657988275,94133.6136613695,94362.2589452083
"Num Offtake","Adult Female",1152120.20508807,53.2273279629162,1151938.91935623,1152082.25294006,1152120.36381938,1152157.41450984,1152270.56771048
"Num Offtake","Adult Male",833386.669924654,238.00850870286,832627.894342781,833233.056261973,833384.411083284,833536.813620957,834220.025111009
"Num Offtake","Oxen",4469531.78037588,10.7772382145761,4469499.43462625,4469525.03715073,4469531.72991467,4469538.95040631,4469570.53993724
"Cml Pop Growth","Overall",-1139652.86986852,62538.1914526926,-1336095.93079959,-1179868.76747053,-1140293.22446961,-1098951.59672846,-937575.549114197
"Cml Pop Growth","Neonatal Female",52392.5332064061,20843.4421968587,-8538.22107978025,38552.280065031,51496.7392169372,66576.1515838648,120972.971040865
"Cml Pop Growth","Neonatal Male",-254147.878974622,20843.4421968586,-315078.633260809,-267988.132115997,-255043.672964092,-239964.260597164,-185567.441140162
"Cml Pop Growth","Neonatal Combined",-201755.345768216,41686.8843937173,-323616.854340589,-229435.852050966,-203546.933747155,-173388.109013299,-64594.4700992964
"Cml Pop Growth","Juvenile Female",1213245.81105794,12150.1971419357,1171484.66935066,1205232.40724836,1213011.80520904,1221607.3491414,1253152.81796344
"Cml Pop Growth","Juvenile Male",1063183.79939297,13199.3243026035,1023944.3324854,1053845.55192939,1063231.5828236,1071918.89222245,1107493.68838267
"Cml Pop Growth","Juvenile Combined",2276429.61045091,22946.5046702247,2210332.59349831,2260501.11057798,2276343.08157886,2292136.96085591,2355232.78657995
"Cml Pop Growth","Adult Female",-749401.986480811,2546.61153761358,-757747.903630355,-751143.943924881,-749487.112075442,-747647.515485905,-741818.486129794
"Cml Pop Growth","Adult Male",1512135.31185964,2624.36709077717,1503189.54396645,1510278.64885601,1512254.95333792,1513900.70810358,1520310.33916244
"Cml Pop Growth","Oxen",-3977060.45993005,173.849492256495,-3977616.41246548,-3977171.15969026,-3977061.74856352,-3976949.29524473,-3976453.98734894
"Total Number Increase","Overall",5409451.55972524,62735.5968633525,5212440.64918302,5369167.20852086,5409012.21068593,5450348.92592437,5611981.19614501
"Total Number Increase","Neonatal Female",52392.5332064061,20843.4421968587,-8538.22107978025,38552.280065031,51496.7392169372,66576.1515838648,120972.971040865
"Total Number Increase","Neonatal Male",-254147.878974622,20843.4421968586,-315078.633260809,-267988.132115997,-255043.672964092,-239964.260597164,-185567.441140162
"Total Number Increase","Neonatal Combined",-201755.345768216,41686.8843937173,-323616.854340589,-229435.852050966,-203546.933747155,-173388.109013299,-64594.4700992964
"Total Number Increase","Juvenile Female",1307311.5852631,12235.0268798944,1265254.82440858,1299211.36156251,1307091.95236593,1315730.23672489,1347496.04162523
"Total Number Increase","Juvenile Male",1063183.79939297,13199.3243026035,1023944.3324854,1053845.55192939,1063231.5828236,1071918.89222245,1107493.68838267
"Total Number Increase","Juvenile Combined",2370495.38465607,23020.7902971026,2304324.65039737,2354569.24366366,2370381.92605606,2386282.37094089,2449576.01024173
"Total Number Increase","Adult Female",402718.21860726,2596.77521624189,394191.015725879,400950.691356393,402623.946005368,404494.972727727,410452.081580687
"Total Number Increase","Adult Male",2345521.9817843,2848.95749660734,2335817.43830923,2343538.62786498,2345672.77151886,2347455.9675962,2354396.58687443
"Total Number Increase","Oxen",492471.320445825,184.300718430324,491883.707008242,492352.46530302,492469.599413589,492587.57347015,493116.552588299
