"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6565824.17194644,389.659420588823,6564670.88763055,6565567.46932369,6565824.66908634,6566083.48011552,6567009.94000569
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93069.8093017909,130.035944154902,92649.4839170378,92981.9290643411,93071.4872174422,93166.8663359626,93468.9915976466
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93069.8093017909,130.035944154902,92649.4839170378,92981.9290643411,93071.4872174422,93166.8663359626,93468.9915976466
"Num Offtake","Adult Female",1151741.09031316,64.4772830151212,1151545.49805212,1151698.6980661,1151743.02679096,1151786.54978803,1151940.49360893
"Num Offtake","Adult Male",831754.866922065,281.671619682224,830830.292979589,831561.965643723,831761.651574942,831947.629632499,832584.300556312
"Num Offtake","Oxen",4489258.40540943,11.9188131472729,4489216.0901821,4489250.26148337,4489258.32991275,4489266.54470219,4489297.44357814
"Cml Pop Growth","Overall",-2149452.55649153,76730.3193925118,-2385873.35742627,-2198933.20278502,-2148657.62369876,-2097736.92447837,-1939973.9665076
"Cml Pop Growth","Neonatal Female",-307727.557019803,29075.9578103964,-404051.537802583,-327870.387859999,-307241.134617103,-287621.276580808,-228528.204624073
"Cml Pop Growth","Neonatal Male",-637227.241370138,30696.0800988128,-737061.353528205,-657885.530716284,-636675.719371559,-615868.04721796,-555288.23582114
"Cml Pop Growth","Neonatal Combined",-944954.798389941,50891.5960205476,-1113362.98132204,-979596.866902621,-945134.248783178,-908727.778210864,-794723.333642142
"Cml Pop Growth","Juvenile Female",1046777.33510629,16416.2163848183,992938.073249705,1035208.36133603,1047009.46311078,1058128.99587725,1101500.44031806
"Cml Pop Growth","Juvenile Male",882238.155110164,17682.4588914621,829304.264462991,870684.524987813,882356.065151146,894760.42747932,927199.433003691
"Cml Pop Growth","Juvenile Combined",1929015.49021646,28020.0674924943,1846616.07627769,1908487.4309126,1929360.20684638,1949123.84549988,2000629.87347259
"Cml Pop Growth","Adult Female",-775236.788818229,3338.72523311895,-786038.108115572,-777496.491551491,-775233.785304031,-772781.047703887,-765017.792855257
"Cml Pop Growth","Adult Male",1485654.89398731,3384.0639641729,1475086.96933735,1483455.45974541,1485705.20397832,1487996.76507615,1494644.25991137
"Cml Pop Growth","Oxen",-3843931.35348714,207.02711369262,-3844606.38011174,-3844072.48215118,-3843926.57895829,-3843789.75059271,-3843326.86556031
"Total Number Increase","Overall",4416371.61545491,76964.1429654954,4179362.15682184,4366786.28258469,4417141.58707323,4468088.13816945,4626501.13482762
"Total Number Increase","Neonatal Female",-307727.557019803,29075.9578103964,-404051.537802583,-327870.387859999,-307241.134617103,-287621.276580808,-228528.204624073
"Total Number Increase","Neonatal Male",-637227.241370138,30696.0800988128,-737061.353528205,-657885.530716284,-636675.719371559,-615868.04721796,-555288.23582114
"Total Number Increase","Neonatal Combined",-944954.798389941,50891.5960205476,-1113362.98132204,-979596.866902621,-945134.248783178,-908727.778210864,-794723.333642142
"Total Number Increase","Juvenile Female",1139847.14440808,16531.9101388976,1085711.30049494,1128159.27977541,1140092.13951141,1151340.70979465,1194964.28732024
"Total Number Increase","Juvenile Male",882238.155110164,17682.4588914621,829304.264462991,870684.524987813,882356.065151146,894760.42747932,927199.433003691
"Total Number Increase","Juvenile Combined",2022085.29951825,28112.8238551355,1939389.30352293,2001610.92116118,2022417.5135744,2042335.58289234,2093885.78432
"Total Number Increase","Adult Female",376504.301494928,3400.14025186648,365507.389936546,374220.331981163,376508.681088421,379002.619687643,386922.700753674
"Total Number Increase","Adult Male",2317409.76090938,3651.21371784543,2305971.86281023,2315040.04553522,2317451.01562174,2319933.79619892,2327135.28583304
"Total Number Increase","Oxen",645327.051922291,218.538325615482,644609.710070366,645177.38713737,645332.315877107,645476.609197628,645970.578017824
"Total Mortality","Overall",2334067.4434625,49666.0264652804,2167958.26767769,2298248.13725039,2332786.63814869,2367759.28190866,2481165.7436361
"Total Mortality","Neonatal Female",556564.84599376,32658.2645060838,465697.524547033,533763.329713062,555657.887455446,578923.346641071,657550.46997228
"Total Mortality","Neonatal Male",596864.675070653,35048.9473818868,501943.912248669,571937.938613837,595091.25063483,619708.307783276,722986.039399072
"Total Mortality","Neonatal Combined",1153429.52106441,48355.2975899159,975619.398372503,1118915.09276679,1153189.5710696,1187643.62715357,1298664.92179499
"Total Mortality","Juvenile Female",377446.687856918,8269.9167299996,354174.333265861,371680.968105948,377285.414523259,382813.012704694,402238.59930177
"Total Mortality","Juvenile Male",448237.768688704,9382.75622143932,419938.565998874,441857.178729601,448224.657693271,454711.352845625,477154.09562771
"Total Mortality","Juvenile Combined",825684.456545622,12840.6402663591,782604.093123032,817172.857671693,825326.914489051,834468.334630725,869147.942374241
"Total Mortality","Adult Female",326272.263544804,18.2655192677399,326216.854972271,326260.254409661,326272.812122084,326285.141583011,326328.751730575
"Total Mortality","Adult Male",28681.2023076574,9.71281447180079,28649.320447572,28674.5505394387,28681.4362612049,28687.8492976724,28709.803467459
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",36355808464.0717,597652494.543845,34502969326.2831,35930471068.0691,36343374287.1464,36761093641.2995,38158933193.8498
"Value of Total Mortality","Neonatal Female",6106607932.06882,358325213.164271,5109615200.84151,5856430578.63881,6096656818.11689,6351924535.12925,7214618286.74916
"Value of Total Mortality","Neonatal Male",7198714544.98216,422721226.171471,6053886404.72318,6898076112.54456,7177325481.74253,7474228908.51711,8719849465.08195
"Value of Total Mortality","Neonatal Combined",13305322477.051,559296628.486216,11259722860.4671,12902004159.0582,13297535992.8727,13706189258.0069,15036175864.1855
"Value of Total Mortality","Juvenile Female",6026363512.29664,132038579.313997,5654794034.89818,5934307271.64804,6023788601.01846,6112042961.33721,6422194434.48499
"Value of Total Mortality","Juvenile Male",8513819490.10825,178215889.800447,7976304982.75194,8392626688.10248,8513570460.11513,8636778622.10484,9063055643.49145
"Value of Total Mortality","Juvenile Combined",14540183002.4049,227505991.422614,13768695311.6847,14387021024.6905,14533438664.1317,14698446523.9287,15299476080.4464
"Value of Total Mortality","Adult Female",7894300960.11385,441942.274607408,7892960325.3244,7894010393.80565,7894314233.1825,7894612549.91397,7895667716.6206
"Value of Total Mortality","Adult Male",616002024.501931,208607.481445907,615317280.1824,615859160.801683,616007049.251498,616144785.578058,616616307.409318
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",11721686066.964,948574318.863937,9105428940.89664,11076603404.9031,11714708441.0237,12360345637.6396,14461702327.3529
"Population Liveweight (kg)","Neonatal Female",326179865.335908,70657094.2515673,111553759.681018,278249064.782949,331424883.369013,379522415.157248,460205689.56174
"Population Liveweight (kg)","Neonatal Male",353031799.205349,95548772.729186,116713012.679993,282499918.409662,349865627.609792,427000255.961385,582448574.068561
"Population Liveweight (kg)","Juvenile Female",915429954.787243,193466021.064771,516431961.59795,766437675.108649,898095536.391856,1051692553.92251,1465902007.36021
"Population Liveweight (kg)","Juvenile Male",1177072041.36664,250148302.521614,670533405.884414,983040571.627832,1160090373.35441,1355836257.8454,1963632686.89087
"Population Liveweight (kg)","Juvenile Combined",2092501996.15389,315090665.798361,1265781723.8471,1867361191.01015,2078163687.51104,2309212731.65877,3295943509.83169
"Population Liveweight (kg)","Adult Female",3857666693.96165,579967169.39452,2477435015.00761,3417311426.37844,3853884186.94516,4315591114.4765,5338521598.85598
"Population Liveweight (kg)","Adult Male",974821632.626208,156019480.658284,641327153.151166,861605617.896042,970166046.053779,1084289325.08631,1415491639.53523
"Population Liveweight (kg)","Oxen",4117484079.68096,701152486.998321,2405423621.38637,3594014406.96812,4119858539.27019,4588795253.31991,5978458827.70899
"Offtake Liveweight (kg)","Overall",1878012587.95934,237313341.122137,1288934807.9404,1696426021.77998,1880621952.46002,2044064605.39625,2543896536.23716
"Offtake Liveweight (kg)","Juvenile Female",15822245.4491915,3296426.25868423,8635913.40201564,13492967.4279554,15594132.9567588,18180282.0853853,24780324.1245731
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",277571766.171007,41460138.2920316,181553112.444341,246728516.522539,277071257.729877,309437666.791446,378905699.466797
"Offtake Liveweight (kg)","Adult Male",220514002.274027,36031182.7571281,144920429.792723,193598257.650117,218704148.409414,243854586.563233,324418240.172776
"Offtake Liveweight (kg)","Oxen",1364104574.06512,231059358.098017,787408469.600782,1195422089.36792,1365286502.89538,1534947867.33911,1935535539.17634
"Meat (kg)","Overall",6209891712.05681,260395884.52359,5444286688.61504,6039304823.95032,6210364774.32469,6375780688.67633,7035290344.30375
"Manure","Overall",30141689223.3348,942722323.796895,26791790016.1163,29531849620.4306,30152431271.934,30735498954.0242,33251591375.2789
"Manure","Neonatal Female",939456800.392489,23766856.1250282,863508484.751185,923302278.978967,940237304.808579,955991175.949509,1007307445.82427
"Manure","Neonatal Male",1001021950.5663,25120687.677208,921522408.894419,984326207.593085,1001805321.2594,1017829434.35327,1072012543.35054
"Manure","Neonatal Combined",1940478750.95879,35016991.5103752,1811325990.89526,1915044631.55922,1939687584.65214,1965415679.15356,2037586251.36147
"Manure","Juvenile Female",2113960729.22207,68019873.2430239,1925858589.25373,2066822562.34398,2113938702.08606,2159180380.49719,2312351848.32744
"Manure","Juvenile Male",2500146577.72319,83005700.8917009,2261772503.97892,2442308172.98979,2499369887.9978,2558082768.13662,2782536317.64417
"Manure","Juvenile Combined",4614107306.94526,107064639.227907,4270203509.34027,4540622564.43436,4611504883.96452,4688129876.01679,4979692598.35874
"Manure","Adult Female",11127103096.9999,691063326.619365,9156949056.97337,10718288921.3029,11116701272.329,11511783833.0781,13454641601.9438
"Manure","Adult Male",2059620310.0329,122876683.259351,1680022183.11958,1976140180.73228,2054289919.94075,2135348586.13871,2478174492.4782
"Manure","Oxen",10400379758.3979,612052487.576517,8530606631.06777,9989278682.82568,10374959748.1284,10779407780.601,12208028150.9508
"Hides","Overall",590318.961199042,6416.41762186975,568777.093137379,586062.904516055,590136.07621594,594710.805306493,612014.070455784
"Hides","Juvenile Female",188723.343928459,4134.9583649998,177087.166632931,185840.484052974,188642.707261629,191406.506352347,201119.299650885
"Hides","Juvenile Male",224118.884344352,4691.37811071966,209969.282999437,220928.589364801,224112.328846636,227355.676422813,238577.047813855
"Hides","Juvenile Combined",412842.228272811,6420.32013317954,391302.046561516,408586.428835847,412663.457244526,417234.167315362,434573.97118712
"Hides","Adult Female",163136.131772402,9.13275963386993,163108.427486136,163130.127204831,163136.406061042,163142.570791505,163164.375865288
"Hides","Adult Male",14340.6011538287,4.85640723590039,14324.660223786,14337.2752697194,14340.7181306024,14343.9246488362,14354.9017337295
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",1327443738.34691,225733941.701908,570447750.959335,1163405223.53378,1325073112.13757,1490371581.35266,1975684117.87093
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",112423768700.786,2776090185.05159,103622346410.363,110491246293.289,112371463305.536,114288233227.811,120174214814.755
"Cml Dry Matter","Neonatal Female",3138308996.75338,192799707.873785,2520583163.29869,3006267503.99121,3137398768.97382,3266447210.10067,3688892198.26815
"Cml Dry Matter","Neonatal Male",3546564039.36825,279028100.147506,2694905567.98866,3353126104.5331,3549986393.03911,3740830609.44849,4366929176.75841
"Cml Dry Matter","Neonatal Combined",6684873036.12163,336306876.196379,5618903794.33875,6464349412.91536,6681385789.43436,6909310277.22603,7758865839.40789
"Cml Dry Matter","Juvenile Female",8033633534.14338,503908753.4188,6401531200.86101,7687869904.99101,8035647575.10992,8395208713.86758,9948641578.72724
"Cml Dry Matter","Juvenile Male",10414596077.6111,666600427.810274,8648257923.38338,9931560705.31725,10400525730.6243,10886973476.9738,12485206036.915
"Cml Dry Matter","Juvenile Combined",18448229611.7545,822433191.782729,15948638745.9172,17893589257.8094,18416675384.3686,18991264113.6468,21051618797.2904
"Cml Dry Matter","Adult Female",36779950795.4597,1592017135.15675,30859595460.1497,35715910194.0464,36783699607.3768,37861699007.1522,42211073506.045
"Cml Dry Matter","Adult Male",7396082353.76719,351725588.776864,6167457399.24303,7157726599.10739,7378560864.54541,7648825566.35032,8586654184.94672
"Cml Dry Matter","Oxen",43114632903.6834,2104512732.22575,36789468253.2761,41681493954.8419,43136639954.4535,44580072270.7606,49197924421.5656
"Value of Offtake","Overall",236157810271.613,34474301645.3047,146038133625.418,213110335870.17,235829061683.868,262665072188.095,319030844590.581
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1526075893.81515,77263774.4337755,1276894220.15588,1477423943.71344,1534011527.84516,1586759448.96338,1655977902.08175
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",1526075893.81515,77263774.4337755,1276894220.15588,1477423943.71344,1534011527.84516,1586759448.96338,1655977902.08175
"Value of Offtake","Adult Female",26876950769.7069,2057757145.24966,22006839628.3819,25392594069.7378,26902312043.4137,28439712291.037,31863161632.43
"Value of Offtake","Adult Male",27391315140.6364,5322845644.96318,14691011274.5081,23414220620.2655,27442956590.2833,31342127757.0106,39933728655.6108
"Value of Offtake","Oxen",180363468467.455,33903474762.8568,91446442835.5211,157686544121.744,180853421585.124,205332579649.586,257901717981.841
"Value of draught","Overall",224283064218.997,856763.684084008,224280073258.184,224282469045.768,224283066664.565,224283638281.264,224285801033.22
"Value of Herd Increase","Overall",-96447620136.9608,29798535552.3767,-173311442647.566,-118149709518.97,-97149797290.7582,-74568018105.3297,-14872875088.2918
"Value of Herd Increase","Neonatal Female",-3430640152.08518,325777642.033932,-4424271211.05749,-3649262679.46721,-3427416742.21692,-3198209732.15938,-2539865882.03029
"Value of Herd Increase","Neonatal Male",-6966366535.73165,875922089.749367,-10273756565.559,-7457989880.3332,-6774902474.02552,-6329918387.05954,-5358808913.1076
"Value of Herd Increase","Neonatal Combined",-10397006687.8168,982888202.842796,-13839661187.5077,-10996883704.9494,-10248173041.1499,-9733884694.88696,-8164037188.72852
"Value of Herd Increase","Juvenile Female",17229320998.5512,898787214.366716,14261031074.4979,16659811106.026,17342289469.4754,17914175593.1505,19112416498.0607
"Value of Herd Increase","Juvenile Male",17668753944.6055,594382862.703401,15298439153.4394,17316455055.4571,17713642904.5083,18089164563.3738,19126773315.7519
"Value of Herd Increase","Juvenile Combined",34898074943.1567,1128329578.02885,30029058099.2305,34203663725.8849,34971210603.2735,35718303202.5118,37936844933.5504
"Value of Herd Increase","Adult Female",-18024251437.7893,1371404127.61739,-21387959336.7357,-19066001450.7025,-18051253187.9538,-17059145098.7309,-14775559299.1458
"Value of Herd Increase","Adult Male",49688482394.0491,8872271580.20753,26629724988.222,43488809272.374,50163537011.9528,56238741091.7356,72172588143.9257
"Value of Herd Increase","Oxen",-152612919348.561,28695105329.0195,-220824955735.844,-173748734604.792,-152871729010.712,-132095293012.771,-83577304853.6078
"Value of Herd Increase plus Offtake","Overall",139710190134.652,44547008622.8915,27834330551.9625,108246319611.294,139053596564.88,171569847386.491,272760545951.55
"Value of Herd Increase plus Offtake","Neonatal Female",-3430640152.08518,325777642.033932,-4424271211.05749,-3649262679.46721,-3427416742.21692,-3198209732.15938,-2539865882.03029
"Value of Herd Increase plus Offtake","Neonatal Male",-6966366535.73165,875922089.749367,-10273756565.559,-7457989880.3332,-6774902474.02552,-6329918387.05954,-5358808913.1076
"Value of Herd Increase plus Offtake","Neonatal Combined",-10397006687.8168,982888202.842796,-13839661187.5077,-10996883704.9494,-10248173041.1499,-9733884694.88696,-8164037188.72852
