"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6556271.14376464,375.104920753073,6554826.30796558,6556023.89275101,6556268.1189064,6556529.95342017,6557467.5964516
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",93104.4565516651,127.358289504634,92657.1867369003,93023.7820194207,93108.4378563538,93188.9211036967,93468.1998580692
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",93104.4565516651,127.358289504634,92657.1867369003,93023.7820194207,93108.4378563538,93188.9211036967,93468.1998580692
"Num Offtake","Adult Female",1161879.48040942,63.42785171378,1161650.78152857,1161836.0290205,1161881.00239766,1161923.46261606,1162063.78725989
"Num Offtake","Adult Male",831805.768659611,270.89928316304,830761.252807864,831617.915766006,831816.896063729,831977.949441732,832770.092000767
"Num Offtake","Oxen",4469481.43814394,11.6782876089294,4469439.92943111,4469473.56393708,4469482.00881953,4469489.43085733,4469522.0629463
"Cml Pop Growth","Overall",-1903532.70116776,76677.4642185624,-2115669.19098595,-1955847.40535025,-1907401.61866651,-1851015.74496249,-1673092.69791985
"Cml Pop Growth","Neonatal Female",-278948.294282992,30636.775897922,-372011.698025539,-301562.936497453,-278174.533030922,-257291.481576824,-184712.380976809
"Cml Pop Growth","Neonatal Male",-606730.715443415,29827.2260320117,-695262.979493456,-627372.13158887,-606022.634172738,-586799.101131966,-514299.77378796
"Cml Pop Growth","Neonatal Combined",-885679.009726406,51560.7606238922,-1032470.95969422,-921947.58733359,-886137.679690651,-850186.42435045,-739906.657871743
"Cml Pop Growth","Juvenile Female",1054991.50442188,16502.5150823397,992946.597802658,1044145.12834835,1055694.2235799,1065799.99799491,1101572.43706032
"Cml Pop Growth","Juvenile Male",892724.190308186,17001.6513468292,832364.670097895,880846.315292591,892140.311910399,904036.53265871,943101.028317399
"Cml Pop Growth","Juvenile Combined",1947715.69473006,27368.3072120644,1861260.14460118,1928306.95478687,1945740.83523269,1966382.13824636,2022702.6068334
