"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1297120.38512014,36.1655639968274,1297016.05553533,1297096.48342623,1297120.84274342,1297144.39092142,1297225.35707447
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",46574.5902825183,14.39684686175,46527.6717472636,46564.8391876707,46574.4919550193,46584.8218110724,46617.1766402111
"Num Offtake","Juvenile Male",23802.9824509692,8.49283005056668,23777.0832303973,23797.2405692169,23802.9792046171,23808.721524411,23829.4193927636
"Num Offtake","Juvenile Combined",70377.5727334874,17.2531278402977,70322.3889993559,70365.9324190478,70378.3019398574,70388.8590596921,70423.9815327191
"Num Offtake","Adult Female",245715.106395699,3.2220069896691,245704.860567801,245712.801149936,245715.05226652,245717.32677927,245724.365127456
"Num Offtake","Adult Male",981027.705990954,21.9301918145476,980965.753761454,981013.44466459,981027.847012805,981042.154666708,981093.184058388
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",532945.667925893,5168.3781911695,518536.67196816,529647.772343013,533146.179252775,536126.149185922,547247.50528142
"Cml Pop Growth","Neonatal Female",-397616.40688451,2664.4354924657,-405487.7726645,-399493.617725554,-397553.133346804,-395800.646844377,-388881.53088424
"Cml Pop Growth","Neonatal Male",76309.4347851994,2194.26951139323,68197.9671544658,74815.8459033453,76331.6082749597,77816.1177782844,83799.3659473318
"Cml Pop Growth","Neonatal Combined",-321306.972099311,3450.32643439302,-330452.075987304,-323488.740352469,-321235.970791519,-319040.481682281,-311241.684543474
"Cml Pop Growth","Juvenile Female",936986.767935624,1424.95358670084,932738.772352188,936015.639129833,936947.592041556,937925.601329879,941220.08433308
"Cml Pop Growth","Juvenile Male",876545.339613848,1092.46284333698,873112.508689937,875780.051367134,876540.526323869,877299.992067579,879825.461559353
"Cml Pop Growth","Juvenile Combined",1813532.10754947,1827.13053018566,1807991.36532195,1812263.46880647,1813610.47938275,1814733.04030811,1819293.29173549
"Cml Pop Growth","Adult Female",-343724.09374583,271.648968892803,-344609.290501513,-343908.205337179,-343724.480983579,-343532.680475997,-342920.417695215
"Cml Pop Growth","Adult Male",-615555.373778438,186.009809815735,-616126.402605266,-615682.252788414,-615554.481411518,-615430.468479168,-614975.25295509
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1830066.05304603,5191.8257568464,1815588.73998598,1826752.7796592,1830257.11702459,1833261.37624848,1844426.01463012
"Total Number Increase","Neonatal Female",-397616.40688451,2664.4354924657,-405487.7726645,-399493.617725554,-397553.133346804,-395800.646844377,-388881.53088424
"Total Number Increase","Neonatal Male",76309.4347851994,2194.26951139323,68197.9671544658,74815.8459033453,76331.6082749597,77816.1177782844,83799.3659473318
"Total Number Increase","Neonatal Combined",-321306.972099311,3450.32643439302,-330452.075987304,-323488.740352469,-321235.970791519,-319040.481682281,-311241.684543474
"Total Number Increase","Juvenile Female",983561.358218142,1438.37344048204,979266.444099452,982583.897636594,983520.726488932,984513.762674661,987826.174036184
"Total Number Increase","Juvenile Male",900348.322064817,1100.31116715841,896889.591920334,899575.883556308,900345.263493318,901108.048495456,903654.880952117
"Total Number Increase","Juvenile Combined",1883909.68028296,1843.13752608203,1878324.48214672,1882630.73891492,1883989.62035783,1885118.85419624,1889716.8920833
"Total Number Increase","Adult Female",-98008.9873501315,274.783365941983,-98904.4299337114,-98195.9685887038,-98009.4777939778,-97814.823023599,-97196.0525677589
"Total Number Increase","Adult Male",365472.332212517,207.315871588805,364839.351156188,365330.678591601,365472.263166304,365612.280624894,366117.931103298
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1133417.62873403,4982.08344680821,1116635.71093711,1130154.10919688,1133178.46880197,1136744.38207875,1147768.90155568
"Total Mortality","Neonatal Female",248697.568160317,3927.79736818613,236180.228047221,245920.938388309,248727.245570994,251326.612035073,259879.34695548
"Total Mortality","Neonatal Male",194402.007020069,3172.90485195602,182496.39750171,192141.463656414,194403.992781072,196554.83637014,205877.246432794
"Total Mortality","Neonatal Combined",443099.575180386,4987.04347351114,426307.733168497,439831.069653881,442861.58635413,446416.926086732,457470.589817506
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",460715.824491935,6.04126310563181,460696.613564627,460711.502156129,460715.722999725,460719.987711131,460733.18461398
"Total Mortality","Adult Male",229602.229061713,5.13259808425616,229587.729603745,229598.891304479,229602.262066827,229605.610666676,229617.553715793
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",24170040139.302,55184456.8652037,23989062821.2055,24134634414.8697,24167418534.2006,24206714341.0583,24328708032.9401
"Value of Total Mortality","Neonatal Female",2845367857.99569,44938229.4600987,2702156014.43458,2813600224.86092,2845707399.51623,2875446949.61619,2973299442.58787
"Value of Total Mortality","Neonatal Male",2047339169.20651,33415356.5755334,1921955583.54375,2023532321.51474,2047360082.19164,2070011629.84917,2168190324.4277
"Value of Total Mortality","Neonatal Combined",4892707027.2022,55324551.3586008,4711419682.66222,4857055598.91859,4890206163.07551,4929446596.52612,5051956574.06619
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",11827265890.909,155088.280603437,11826772717.6052,11827154930.0691,11827263285.4518,11827372766.987,11827711551.2671
"Value of Total Mortality","Adult Male",7450067221.19082,166541.069323789,7449596746.94075,7449958918.60219,7450068292.13129,7450176946.53799,7450564471.16747
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1609186478.00548,395937987.703953,631305003.817507,1314435662.56599,1617567817.35364,1898735265.46539,2579449481.91696
"Population Liveweight (kg)","Neonatal Female",88849566.5300898,49769020.5623662,1723991.09424172,44920023.2507728,94104925.6729651,129355238.891621,172954627.16089
"Population Liveweight (kg)","Neonatal Male",74858253.3249195,42121993.639117,1516410.26730775,40589212.5281223,73046187.2259789,110698433.956176,152072807.537167
"Population Liveweight (kg)","Juvenile Female",486793163.317833,85884004.7277401,262250777.010232,424900823.810254,494454358.533554,547197799.177801,675572012.593037
"Population Liveweight (kg)","Juvenile Male",145343747.311904,83902673.7854167,1631701.1631111,73519380.2791106,143698074.85965,218680203.349848,294079856.9693
"Population Liveweight (kg)","Juvenile Combined",632136910.629737,118823555.4234,282503650.046193,549263785.548826,629270463.711923,717391205.9801,935161766.381549
"Population Liveweight (kg)","Adult Female",595498243.181028,346078264.6922,4979774.37683897,293815335.741307,607552797.876956,901387262.226978,1195332272.55005
"Population Liveweight (kg)","Adult Male",217843504.3397,126421916.418214,1821215.30504276,107466213.431017,218615217.177698,326519957.434417,437209905.827679
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",156406588.780411,70262637.2250411,16656431.3621093,98187894.0809543,155612161.529742,213212203.899619,301483787.98525
"Offtake Liveweight (kg)","Juvenile Female",10069671.0605636,1757573.51366095,5289953.18995762,8801883.8658981,10133412.348895,11483097.1902847,13756251.7585005
"Offtake Liveweight (kg)","Juvenile Male",2117020.42263326,1263527.90196915,23791.6577215293,1000101.68951775,2095650.2097915,3220128.91106446,4286534.04878917
"Offtake Liveweight (kg)","Adult Female",29640871.8986594,16939980.503468,245711.237005583,15479783.3017382,29239606.7579943,44474103.6708945,58971843.3180649
"Offtake Liveweight (kg)","Adult Male",114579025.398555,68071720.8543731,980980.508708176,54938678.8651851,109878383.108408,170698170.041209,235445345.653821
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",508021395.903086,74938320.2061025,267756084.876123,456897381.617559,508026877.989249,558488835.977483,705480310.247177
"Manure","Overall",6993020577.98877,234466635.911621,6351781874.2927,6832000744.72108,6999886086.55964,7149435318.8665,7695852294.20444
"Manure","Neonatal Female",439701469.059004,10548241.826769,410226155.479777,432335623.408637,439467125.930417,447012763.924575,471398117.969224
"Manure","Neonatal Male",351164446.933251,8787536.92487744,319592245.635164,345637633.869727,351291583.227427,356920933.595167,376193393.333243
"Manure","Neonatal Combined",790865915.992255,13779478.7584166,750728884.739251,781192948.257981,791137478.73605,799865723.307311,835480890.821264
"Manure","Juvenile Female",804344247.557795,26458496.7611652,721436126.418291,785931892.850778,804027868.547219,822857744.191957,885885354.148535
"Manure","Juvenile Male",524177924.986522,17748939.4614582,460750294.237671,511710322.092259,523983667.429597,536470641.17794,590741397.224929
"Manure","Juvenile Combined",1328522172.54432,32803220.4448903,1236299768.7978,1306251335.62447,1328983295.05841,1350607927.6662,1427664835.98616
"Manure","Adult Female",3483299993.41933,218053762.52599,2870217702.64018,3357661536.42065,3481470862.82016,3606901789.43302,4095121059.85362
"Manure","Adult Male",1390332496.03287,80200357.016702,1148118139.0604,1342595160.52183,1390899128.29776,1443500247.65823,1640835647.21767
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",345159.026776824,4.12178116284892,345146.567435991,345156.200904876,345159.161189548,345161.766016356,345170.018250464
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",230357.912245967,3.02063155281591,230348.306782314,230355.751078065,230357.861499863,230359.993855565,230366.59230699
"Hides","Adult Male",114801.114530856,2.56629904212808,114793.864801872,114799.445652239,114801.131033413,114802.805333338,114808.776857896
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",370792631.240199,61089140.4791547,177869348.74622,329263998.809005,372130667.684047,411991168.899244,534654593.163694
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",15828271312.491,1028670238.332,12558957263.6895,15141349702.1607,15813984080.6433,16503044599.638,18859199554.2087
"Cml Dry Matter","Neonatal Female",1018422565.25339,98498160.1040227,677166153.180884,957254243.443117,1016124751.63782,1076618856.79711,1298403365.11726
"Cml Dry Matter","Neonatal Male",802336094.290649,79238015.3448706,585564024.607305,764381061.274914,810491858.16766,856189603.560305,1036598028.52683
"Cml Dry Matter","Neonatal Combined",1820758659.54404,125360336.302955,1425608217.31122,1737218495.91126,1823276713.38836,1904496473.92981,2243355064.17766
"Cml Dry Matter","Juvenile Female",3871562732.60936,197254427.323937,3261898689.0508,3736898493.00938,3864280224.82873,4003837663.33464,4481610220.78348
"Cml Dry Matter","Juvenile Male",1138620401.39789,144630365.11241,656435264.563444,1039854382.37711,1134836265.10701,1236195167.97208,1664311314.16294
"Cml Dry Matter","Juvenile Combined",5010183134.00725,244195147.977214,4271091647.4972,4856239749.13633,5005644889.81874,5169250440.05197,5985611727.44324
"Cml Dry Matter","Adult Female",6424047870.69425,932339088.317082,3514384936.77216,5803469060.06044,6413543365.9552,7031169218.11901,9167738834.15791
"Cml Dry Matter","Adult Male",2573281648.24542,366124431.172498,1295382530.36813,2322710787.31312,2586156046.35467,2817066258.78716,3881633807.61947
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
