"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291699.44618774,42.4547948544233,1291580.3280287,1291670.5844347,1291697.26593305,1291729.56050383,1291832.04871859
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44840.5873234321,17.1404427277261,44793.4426803794,44828.3725996426,44841.2679841115,44853.1262791206,44887.405680622
"Num Offtake","Juvenile Male",22953.6021226219,9.60712961040692,22928.3148289972,22946.8232722812,22953.330198701,22959.9083642904,22983.6806004028
"Num Offtake","Juvenile Combined",67794.189446054,20.0273190294114,67738.7251010516,67780.3715054856,67794.0027911485,67808.5618176786,67855.6068400475
"Num Offtake","Adult Female",245277.979907811,4.31360567195156,245265.280233498,245275.163713898,245278.076321331,245281.093690056,245290.989374269
"Num Offtake","Adult Male",978627.276833876,26.7587175921468,978554.901734911,978608.724472414,978626.282052448,978645.447652012,978710.335579623
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225612.245278627,5305.63835340742,209344.273792846,221760.372497221,225536.371118559,229275.260259693,240556.885531772
"Cml Pop Growth","Neonatal Female",-400328.106654764,2527.23609042722,-408404.068277258,-402067.706457717,-400262.132098714,-398582.047006962,-392889.329592928
"Cml Pop Growth","Neonatal Male",73684.9586663883,2177.88647453855,65325.1217419128,72192.5671886751,73654.917091012,75171.5736628286,79838.6482017806
"Cml Pop Growth","Neonatal Combined",-326643.147988376,3437.42866175507,-337314.343155448,-329122.06515717,-326785.704308863,-324103.562215089,-315668.932726115
"Cml Pop Growth","Juvenile Female",784563.426787845,1577.20286376873,779727.270941946,783469.877596697,784585.043852813,785588.094604738,789347.526834069
"Cml Pop Growth","Juvenile Male",777655.164145288,1186.05215183255,774346.930633325,776827.821185124,777648.763901662,778428.117843624,781401.647825351
"Cml Pop Growth","Juvenile Combined",1562218.59093313,2053.84899447338,1556180.94379985,1560788.71956992,1562199.16549949,1563635.21400517,1568691.95942622
"Cml Pop Growth","Adult Female",-376135.547404767,321.542214774832,-377021.735266412,-376356.423602877,-376124.534258044,-375901.437029468,-375266.696982724
"Cml Pop Growth","Adult Male",-633827.650261362,208.655092304137,-634371.047346331,-633976.403687773,-633836.042090511,-633689.868043607,-633172.692383216
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1517311.69146637,5331.24114739882,1500997.89035929,1513477.63900795,1517234.27248358,1520997.81069988,1532346.20522183
"Total Number Increase","Neonatal Female",-400328.106654764,2527.23609042722,-408404.068277258,-402067.706457717,-400262.132098714,-398582.047006962,-392889.329592928
"Total Number Increase","Neonatal Male",73684.9586663883,2177.88647453855,65325.1217419128,72192.5671886751,73654.917091012,75171.5736628286,79838.6482017806
"Total Number Increase","Neonatal Combined",-326643.147988376,3437.42866175507,-337314.343155448,-329122.06515717,-326785.704308863,-324103.562215089,-315668.932726115
"Total Number Increase","Juvenile Female",829404.014111277,1592.25541008554,824523.49458032,828300.059760996,829421.682156315,830431.850129273,834228.254498107
"Total Number Increase","Juvenile Male",800608.76626791,1194.45348179058,797276.507393087,799777.67704016,800600.644323634,801386.19268718,804382.126625309
"Total Number Increase","Juvenile Combined",1630012.78037919,2071.32927446364,1623928.59043521,1628575.01430898,1629994.62182904,1631441.46553271,1636547.56626627
"Total Number Increase","Adult Female",-130857.567496956,325.628299636968,-131754.681567229,-131081.944791406,-130846.60399445,-130619.441857758,-129975.707608455
"Total Number Increase","Adult Male",344799.626572514,234.167980675313,344184.383084844,344633.525108284,344793.143884766,344953.609185472,345532.846573956
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1440749.94988392,5109.0233670481,1425939.15321481,1437198.74228496,1440697.73860364,1444300.54828099,1456207.07946492
"Total Mortality","Neonatal Female",248755.241105432,3817.0055489818,238017.33119436,246295.561345407,248747.031394841,251276.57334958,261221.627769231
"Total Mortality","Neonatal Male",194332.966412686,3082.20027974073,185230.584965944,192171.93978007,194428.634679825,196400.89053103,206684.1937978
"Total Mortality","Neonatal Combined",443088.207518118,5004.81125636434,428874.854254854,439535.687612016,443199.258884327,446679.050146057,458363.369508617
"Total Mortality","Juvenile Female",188274.476463786,928.763861891293,185196.752174844,187639.314669636,188296.900174713,188928.292878596,191061.445530041
"Total Mortality","Juvenile Male",120450.627081839,615.452975497914,118154.371031886,120029.661374805,120440.27288417,120861.923693,122537.482770081
"Total Mortality","Juvenile Combined",308725.103545625,1123.58879487855,304613.220316657,307979.626150955,308718.526315684,309475.245265524,311963.919681648
"Total Mortality","Adult Female",459896.212327146,8.08801063491073,459872.400437808,459890.931963558,459896.393102495,459902.050668855,459920.605076754
"Total Mortality","Adult Male",229040.426493035,6.2626785853974,229023.487640086,229036.08445099,229040.19367185,229044.679237705,229059.865773954
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",30870646564.0515,58105807.8536471,30695118499.0372,30830485002.8056,30871067182.7358,30911937434.005,31040312476.6386
"Value of Total Mortality","Neonatal Female",2758439674.90475,42326664.1492808,2639367302.42878,2731164357.17692,2758348637.66142,2786398655.2461,2896679076.10616
"Value of Total Mortality","Neonatal Male",2109253062.86567,33453615.7215997,2010457545.56192,2085797690.73853,2110291428.04481,2131697918.00737,2243310936.18026
"Value of Total Mortality","Neonatal Combined",4867692737.77042,55031612.2309531,4712221801.79665,4828746898.15099,4868582926.26395,4907358716.56136,5035903778.83517
"Value of Total Mortality","Juvenile Female",3195018531.77191,15761126.0225892,3142789539.69849,3184239833.87777,3195399062.22569,3206113798.64467,3242313406.68754
"Value of Total Mortality","Juvenile Male",2362987632.52736,12073891.2261172,2317939924.77679,2354729171.91541,2362784504.97519,2371056405.84154,2403927346.18143
"Value of Total Mortality","Juvenile Combined",5558006164.29928,20030115.1539013,5482147256.89648,5545008427.68173,5557947525.7652,5571370586.33284,5614549807.22087
"Value of Total Mortality","Adult Female",10841017684.9456,190656.639430467,10840456373.2702,10840893212.2635,10841021946.3174,10841155310.7055,10841592689.0939
"Value of Total Mortality","Adult Male",9603929977.03625,262601.356117655,9603219711.34164,9603747910.19159,9603920214.57469,9604108299.53874,9604745088.56749
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1327569144.09777,390892572.539725,360106111.335191,1036554729.34088,1330050675.33362,1622488626.12996,2246233523.47523
"Population Liveweight (kg)","Neonatal Female",87622294.4674275,50445172.8902305,1721902.19517838,43076449.4933138,89734841.1891302,130892099.105508,173136867.030259
"Population Liveweight (kg)","Neonatal Male",75706243.0412793,44155772.2714748,1512866.73508739,36369731.1682158,77309185.5972813,113670609.934088,152221560.529983
"Population Liveweight (kg)","Juvenile Female",204107686.119052,108904771.555448,2142601.63615856,109197638.663326,212057197.765933,297594368.040956,386217323.108994
"Population Liveweight (kg)","Juvenile Male",138737391.566719,80769143.5727844,1531309.5321321,67496777.8295733,142663450.940037,210094708.637134,276613953.668839
"Population Liveweight (kg)","Juvenile Combined",342845077.685771,132978404.210508,9496784.67090093,253261726.077963,346831974.109952,438645606.435934,647184087.806496
"Population Liveweight (kg)","Adult Female",607810843.475787,336701164.951926,4947749.72917714,320347784.285608,618444804.866851,885632421.668433,1187532039.79985
"Population Liveweight (kg)","Adult Male",213584685.42751,123101447.821197,1803027.32075748,102778567.568954,207391522.164159,319136631.442462,432882257.218883
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
