"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1354898.08282501,10.0529940980912,1354867.51694659,1354891.5923819,1354898.10225376,1354903.87523631,1354929.14304782
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47283.8382967638,2.46383716734559,47275.9704913502,47282.2993712996,47283.8344698832,47285.3388015284,47291.2752202049
"Num Offtake","Juvenile Male",24234.0814278397,1.97317837974525,24227.7810348782,24232.8489273703,24234.0788151573,24235.2830377115,24240.0376978127
"Num Offtake","Juvenile Combined",71517.9197246035,4.43701551250982,71503.7515262285,71515.1482040465,71517.9132850405,71520.6218392399,71531.3129180176
"Num Offtake","Adult Female",255667.758574366,0.549943746199079,255666.041656787,255667.396374458,255667.761245712,255668.097472207,255669.518692246
"Num Offtake","Adult Male",1027712.40452604,5.13362380412573,1027696.47619588,1027709.0380253,1027712.40204101,1027715.53918341,1027728.80412515
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1728609.96376777,1554.16111377716,1723605.08549992,1727544.81562169,1728599.36972044,1729638.38821865,1733538.01920394
"Cml Pop Growth","Neonatal Female",-184663.394103383,534.682622130966,-186206.181925632,-185025.576437391,-184651.218576003,-184327.090436151,-182970.309246244
"Cml Pop Growth","Neonatal Male",257525.717278562,534.682622130964,255982.929456314,257163.534944554,257537.892805942,257862.020945794,259218.802135702
"Cml Pop Growth","Neonatal Combined",72862.3231751785,1069.36524426193,69776.7475306822,72137.9585071628,72886.6742299383,73534.9305096429,76248.4928894578
"Cml Pop Growth","Juvenile Female",1029368.57077695,258.539801321505,1028488.91030573,1029195.45946786,1029372.67914761,1029529.64837097,1030102.83588773
"Cml Pop Growth","Juvenile Male",950053.946503213,258.949638134468,949172.881202963,949880.808904846,950057.966680582,950215.594015891,950789.443492964
"Cml Pop Growth","Juvenile Combined",1979422.51728017,517.489416271831,1977661.7915087,1979076.160691,1979430.64582819,1979745.24238686,1980892.27938069
"Cml Pop Growth","Adult Female",98185.4921424686,47.5082184968561,98033.2727124058,98156.1226073713,98185.296053533,98214.445661125,98328.5588917714
"Cml Pop Growth","Adult Male",-421860.368830044,44.3492126858986,-422003.322301129,-421887.790883096,-421860.751974367,-421833.327523392,-421727.418088585
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",3083508.04659278,1560.89339291164,3078472.6024465,3082444.51810366,3083493.66681142,3084537.88511108,3088455.12040175
"Total Number Increase","Neonatal Female",-184663.394103383,534.682622130966,-186206.181925632,-185025.576437391,-184651.218576003,-184327.090436151,-182970.309246244
"Total Number Increase","Neonatal Male",257525.717278562,534.682622130964,255982.929456314,257163.534944554,257537.892805942,257862.020945794,259218.802135702
"Total Number Increase","Neonatal Combined",72862.3231751785,1069.36524426193,69776.7475306822,72137.9585071628,72886.6742299383,73534.9305096429,76248.4928894578
"Total Number Increase","Juvenile Female",1076652.40907372,260.823519086766,1075764.90861074,1076479.63373292,1076655.88930412,1076816.27610894,1077393.54628264
