"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293593.92505255,25.9908866858797,1293516.52934381,1293576.76005504,1293593.82292134,1293612.16455252,1293663.11684129
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45459.469997835,10.3024380384074,45425.5622963039,45452.6513774168,45459.6417839702,45466.5136553885,45489.8439802475
"Num Offtake","Juvenile Male",23314.6756355734,5.20391079704584,23297.3364485525,23311.2073356149,23314.7062130514,23318.3110734203,23329.189232421
"Num Offtake","Juvenile Combined",68774.1456334084,11.9341530151571,68733.8951088435,68765.8366042024,68774.0311823036,68782.1680432474,68810.52473274
"Num Offtake","Adult Female",245397.024117081,3.01045285387532,245385.504024479,245395.016438456,245397.148476616,245399.096396977,245404.851331705
"Num Offtake","Adult Male",979422.755302059,16.5704121469282,979367.190930486,979411.343611084,979422.863928796,979434.218601503,979471.06281321
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",663323.240189072,1913.2505880937,656699.754209837,662012.017129651,663352.293718454,664579.564227093,669779.426449871
"Cml Pop Growth","Neonatal Female",-241284.34320249,518.363844817521,-243121.173936005,-241621.337018468,-241299.024390064,-240940.640741265,-239711.313771484
"Cml Pop Growth","Neonatal Male",200904.768179455,518.363844817519,199067.93744594,200567.774363477,200890.086991881,201248.47064068,202477.79761046
"Cml Pop Growth","Neonatal Combined",-40379.5750230352,1036.72768963504,-44053.2364900648,-41053.5626549906,-40408.9373981828,-39692.1701005853,-37233.5161610239
"Cml Pop Growth","Juvenile Female",859527.395380748,853.468390004439,857025.182875071,858943.801407375,859523.871944657,860120.486776668,862282.107361303
"Cml Pop Growth","Juvenile Male",834333.597866417,595.920018802902,832484.488878209,833942.916418504,834334.72569846,834718.332521095,835917.711877915
"Cml Pop Growth","Juvenile Combined",1693860.99324716,1100.63937368212,1690269.84314334,1693125.13398187,1693846.89548712,1694600.77560261,1697309.04160227
