"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291696.41496907,40.8025259569134,1291578.09606437,1291668.20053976,1291697.33842667,1291723.78176857,1291830.44607737
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44839.7234435107,17.7397175752977,44787.9208448761,44827.1786070778,44839.2966744701,44851.9478693932,44910.2840077289
"Num Offtake","Juvenile Male",22953.3002171292,9.35361496834478,22925.3219054393,22946.9334451549,22953.2135230688,22959.281874346,22982.8556400071
"Num Offtake","Juvenile Combined",67793.0236606399,19.859633501373,67734.7525695838,67779.5528908976,67793.1185601516,67806.3184164323,67869.751791909
"Num Offtake","Adult Female",245277.804809119,4.41943091980499,245263.279757389,245274.694287051,245277.760351189,245280.809361365,245295.84507482
"Num Offtake","Adult Male",978625.586499312,25.6816665578313,978548.622765845,978607.537632994,978625.276876778,978641.766234934,978701.937976336
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225694.678866424,5226.73554738698,206240.119663941,222167.537982407,225531.512676666,229412.169317232,240542.301535493
"Cml Pop Growth","Neonatal Female",-400388.503936621,2543.62441492739,-408362.513201836,-402166.206615654,-400445.265920182,-398611.364457328,-392751.225449566
"Cml Pop Growth","Neonatal Male",73924.5663057739,2179.54001897161,67190.1991825546,72534.9730428361,73889.7458984923,75411.5467341582,80991.9991548024
"Cml Pop Growth","Neonatal Combined",-326463.937630847,3467.69028110903,-339304.258908076,-328783.408793532,-326440.793717387,-324151.824273345,-315528.997738751
"Cml Pop Growth","Juvenile Female",784447.244340378,1631.3749784234,780073.793643849,783306.17899474,784452.650202338,785542.885984968,790207.185078435
"Cml Pop Growth","Juvenile Male",777696.400384201,1187.48220768433,773780.55343194,776930.317668497,777672.41210213,778491.827045607,781421.397982233
"Cml Pop Growth","Juvenile Combined",1562143.64472458,1993.71861710289,1554561.82006448,1560744.59253282,1562160.9815522,1563474.04067012,1568703.45885049
"Cml Pop Growth","Adult Female",-376151.916273406,332.980706965784,-377116.409277482,-376386.839333972,-376161.847716696,-375920.235321751,-374834.330627248
"Cml Pop Growth","Adult Male",-633833.111953901,203.718122808795,-634437.593223999,-633970.011722707,-633832.37986606,-633698.719257597,-633181.057360658
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1517391.09383549,5250.22402940511,1497833.61997208,1513849.97744228,1517225.50593118,1521118.59896894,1532294.57213482
"Total Number Increase","Neonatal Female",-400388.503936621,2543.62441492739,-408362.513201836,-402166.206615654,-400445.265920182,-398611.364457328,-392751.225449566
