"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505207.122136863,51.4760196368475,505058.669628801,505174.418815258,505206.687062665,505242.289540972,505367.634012959
"Num Offtake","Neonatal Female",35695.3233748559,7.01892231795536,35675.0622624596,35690.8331444266,35695.2292362465,35700.0904482447,35717.2130323816
"Num Offtake","Neonatal Male",110001.586797677,38.6079051357506,109888.895665638,109977.598779268,110001.160600458,110027.596648174,110121.551606721
"Num Offtake","Neonatal Combined",145696.910172533,45.6204288275126,145564.218127725,145668.217714141,145696.616658272,145727.621568553,145838.764639102
"Num Offtake","Juvenile Female",113999.96292893,5.22551103697085,113985.338079843,113996.475264967,113999.892478183,114003.433737638,114015.777639439
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.96292893,5.22551103697085,113985.338079843,113996.475264967,113999.892478183,114003.433737638,114015.777639439
"Num Offtake","Adult Female",237036.712615566,0.648816514167399,237034.760343037,237036.292231363,237036.696617073,237037.140491371,237038.672024606
"Num Offtake","Adult Male",8473.53641983497,0.372283471983912,8472.41560437708,8473.29493977508,8473.5274192727,8473.7821178148,8474.66095622754
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72955.4127786131,271.769093169302,72060.0248072776,72788.7486226843,72967.7804463576,73132.4028312928,73800.7605674511
"Cml Pop Growth","Neonatal Female",-14661.3860441508,100.21721308746,-15004.8763342664,-14727.1314542643,-14659.538976915,-14597.3910692181,-14367.9044978205
"Cml Pop Growth","Neonatal Male",92473.4568299729,83.9937332473408,92176.2205477675,92416.3993212935,92476.2132483925,92530.3617303707,92705.3148995794
"Cml Pop Growth","Neonatal Combined",77812.0707858221,183.627390282691,77171.344213501,77692.5442829076,77814.8052786561,77931.2086679894,78337.410401759
"Cml Pop Growth","Juvenile Female",-13112.3350565672,49.2265648450086,-13259.2121756101,-13142.6638342009,-13112.5907890121,-13078.9555581181,-12960.1740434008
