"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505617.078361857,50.9160629633307,505428.667369083,505585.976893716,505618.14173475,505651.199605685,505791.82958062
"Num Offtake","Neonatal Female",35696.6388237982,6.94363483722494,35670.8836329467,35692.379121477,35696.766691726,35701.2755201006,35720.4640214502
"Num Offtake","Neonatal Male",110009.665508509,38.1994219061353,109866.700456949,109986.128955938,110010.466382978,110034.665466963,110141.709652579
"Num Offtake","Neonatal Combined",145706.304332307,45.1363370472083,145537.584089895,145678.363819361,145707.170841503,145735.9683126,145862.173674029
"Num Offtake","Juvenile Female",114428.566596653,5.18271137406489,114411.048569213,114425.336801824,114428.477028198,114432.162674902,114444.637410922
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114428.566596653,5.18271137406489,114411.048569213,114425.336801824,114428.477028198,114432.162674902,114444.637410922
"Num Offtake","Adult Female",237099.934523002,0.639698261047776,237097.714419553,237099.559359958,237099.92916595,237100.360623768,237101.919794623
"Num Offtake","Adult Male",8382.27290989534,0.365286114661774,8381.00491588809,8382.05866500055,8382.26973646223,8382.51629213192,8383.4066099783
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",76440.8371747318,267.049461450852,75511.0626324662,76266.3973985231,76438.8200493834,76629.6817307636,77196.8651259022
"Cml Pop Growth","Neonatal Female",-14591.7506965347,99.0955319389006,-14903.3344717952,-14658.3810913995,-14590.8451451046,-14521.4788174318,-14326.5995757377
"Cml Pop Growth","Neonatal Male",92536.9496877427,83.5633549515942,92287.1058266696,92478.8962571606,92537.6826063025,92595.7066427119,92758.605897241
"Cml Pop Growth","Neonatal Combined",77945.1989912079,182.033811870366,77388.0385988595,77821.6455228852,77946.1684341212,78073.6634986332,78418.3156109499
"Cml Pop Growth","Juvenile Female",-9968.60396128249,48.8967493337573,-10153.1472028893,-9999.01498793521,-9967.45362940826,-9937.15180546315,-9798.98748167965
"Cml Pop Growth","Juvenile Male",107911.855142596,45.0710249792435,107741.480294699,107883.843034435,107912.802983595,107940.90599794,108068.582776152
"Cml Pop Growth","Juvenile Combined",97943.2511813131,93.9604041576777,97588.3330918099,97884.8388173389,97945.3079933599,98003.6321343134,98269.5952944726
"Cml Pop Growth","Adult Female",-136535.838777752,9.03165301834533,-136566.188326953,-136541.312945962,-136535.939820966,-136529.617829012,-136507.624245797
"Cml Pop Growth","Adult Male",37088.2257799626,8.975432250803,37058.0321935621,37082.7868509711,37088.1299590759,37094.4042044388,37116.2636577496
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",582057.915536589,310.902977191219,580939.730001549,581858.870460954,582057.267384357,582270.905126533,582942.309287794
"Total Number Increase","Neonatal Female",21104.8881272634,103.918358287707,20771.2873195827,21037.358043585,21104.5982063675,21178.9172874521,21387.5462768231
"Total Number Increase","Neonatal Male",202546.615196251,110.052670814069,202180.502170507,202474.467061899,202544.893541793,202624.727183813,202852.300745063
"Total Number Increase","Neonatal Combined",223651.503323515,213.805630334865,222951.78949009,223512.212387342,223650.588747965,223800.608722677,224239.847021887
"Total Number Increase","Juvenile Female",104459.962635371,53.7072117956453,104258.452732144,104427.043594434,104461.021342591,104494.952623294,104645.649929242
"Total Number Increase","Juvenile Male",107911.855142596,45.0710249792435,107741.480294699,107883.843034435,107912.802983595,107940.90599794,108068.582776152
"Total Number Increase","Juvenile Combined",212371.817777966,98.7306163303704,211999.933026843,212309.845925584,212374.34827222,212434.842591325,212714.232705395
"Total Number Increase","Adult Female",100564.09574525,9.65281705859561,100531.5260926,100558.093689417,100563.969021057,100570.761507285,100594.099463974
"Total Number Increase","Adult Male",45470.4986898579,9.32999111338357,45439.0371094502,45464.7546095448,45470.3964462092,45476.986925259,45499.5584436469
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",60526.4676856453,8.30023358156787,60495.6127108178,60521.3539462741,60526.6358060417,60531.8939788967,60555.029590741
"Total Mortality","Neonatal Female",22716.0428878716,4.41867671459755,22699.6532209661,22713.3321682126,22716.1242583711,22718.9935127913,22731.2043772865
"Total Mortality","Neonatal Male",10846.0233599938,3.76614018792876,10831.9282140654,10843.7028548108,10846.1023194485,10848.4881446301,10859.0417967332
"Total Mortality","Neonatal Combined",33562.0662478654,8.18249145763745,33531.5814350314,33556.9803793805,33562.238025791,33567.3896883833,33590.2461740196
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",25403.5644131788,0.0685390993982096,25403.3265449521,25403.5242171384,25403.5638392089,25403.6100668323,25403.7771208525
"Total Mortality","Adult Male",1560.8370246012,0.06801879376461,1560.60091537227,1560.79713072424,1560.83643368607,1560.88234405215,1561.04812737527
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1010586593.69523,88828.2365590495,1010257947.5837,1010532364.43715,1010588408.81279,1010646091.5955,1010891635.73848
"Value of Total Mortality","Neonatal Female",252511532.74158,49118.0103594666,252329345.204259,252481400.381851,252512437.256053,252544331.888188,252680067.857917
"Value of Total Mortality","Neonatal Male",103915749.812101,36083.3891405455,103780704.21896,103893517.051942,103916506.322636,103939364.913701,104040479.4545
"Value of Total Mortality","Neonatal Combined",356427282.553681,85177.6077377769,356110049.423219,356374396.851843,356429074.452554,356482636.840102,356720547.312417
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
