"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505109.158015241,51.800968480833,504927.478021757,505074.999061324,505109.147803727,505145.230661588,505281.8751136
"Num Offtake","Neonatal Female",35695.2091137361,7.06672363414815,35670.4456606513,35690.537999816,35695.2109297617,35700.1228141608,35718.7143476361
"Num Offtake","Neonatal Male",110000.908045505,38.8516365708263,109864.577153116,109975.051608162,110001.110235983,110027.990982488,110129.49255116
"Num Offtake","Neonatal Combined",145696.117159241,45.9121156007353,145535.022813767,145665.554547603,145696.375358819,145727.901181318,145848.206898796
"Num Offtake","Juvenile Female",113999.928371951,5.25612968094731,113982.483802874,113996.371820485,113999.889633104,114003.59461883,114017.26723938
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",113999.928371951,5.25612968094731,113982.483802874,113996.371820485,113999.889633104,114003.59461883,114017.26723938
"Num Offtake","Adult Female",237036.714300821,0.643948921547609,237034.714982951,237036.282918158,237036.713662272,237037.160325781,237038.807510476
"Num Offtake","Adult Male",8376.39818322779,0.36770276623916,8375.25642216423,8376.15188408808,8376.39788386487,8376.65268215548,8377.59346494757
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",71492.7345343572,268.684198442122,70654.6986647851,71313.9173334237,71497.897420079,71667.3539690055,72366.6590418518
"Cml Pop Growth","Neonatal Female",-14660.6806857422,99.0118336261505,-14954.9073158453,-14723.9017993349,-14660.9663910852,-14593.3467881,-14334.5961329889
"Cml Pop Growth","Neonatal Male",92474.6381385625,83.2598739082767,92216.68524931,92421.2921331424,92472.3108900766,92529.6164543477,92755.7434423264
"Cml Pop Growth","Neonatal Combined",77813.9574528202,181.629538704501,77269.0091498442,77698.6317686261,77810.8147344938,77934.4613961872,78421.1473093375
"Cml Pop Growth","Juvenile Female",-13113.2714521976,49.5438630915084,-13286.7309907036,-13146.1691759243,-13112.28642896,-13079.514701506,-12950.9372304233
"Cml Pop Growth","Juvenile Male",107113.015359819,45.6287168977994,106953.33313551,107082.741956577,107113.666343317,107143.651447285,107262.062752647
"Cml Pop Growth","Juvenile Combined",93999.7439076213,95.1656334715051,93666.6021448062,93936.1871713054,94001.6365584331,94064.2396526751,94311.1255222234
"Cml Pop Growth","Adult Female",-137265.061848857,9.16527986478495,-137295.602186475,-137271.304156194,-137265.174506447,-137258.737526106,-137234.865993902
"Cml Pop Growth","Adult Male",36944.095022773,9.10692047881668,36913.7502532249,36937.8970773114,36943.9857155633,36950.370490203,36974.1061367602
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",576601.892549598,313.634493597742,575582.176686542,576387.620937011,576606.288516931,576808.164659288,577648.534155452
"Total Number Increase","Neonatal Female",21034.5284279938,103.996057681984,20730.542911834,20968.6271211944,21036.0715072613,21103.8882955022,21373.0642629919
"Total Number Increase","Neonatal Male",202475.546184067,110.501848399979,202155.282288268,202402.713949248,202476.828801261,202549.92308823,202827.86989238
"Total Number Increase","Neonatal Combined",223510.074612061,214.334918243282,222896.884724787,223369.721029227,223510.508431228,223653.545512187,224200.934155372
"Total Number Increase","Juvenile Female",100886.656919753,54.4533202287167,100695.752812171,100850.108539906,100887.032021614,100924.510669875,101066.330008957
"Total Number Increase","Juvenile Male",107113.015359819,45.6287168977994,106953.33313551,107082.741956577,107113.666343317,107143.651447285,107262.062752647
"Total Number Increase","Juvenile Combined",207999.672279572,100.037380601467,207649.085947681,207932.773493349,208001.402529603,208067.770608719,208328.392761604
"Total Number Increase","Adult Female",99771.6524519639,9.7915015817229,99739.1127964761,99764.978714055,99771.5534225062,99778.4681126214,99803.9415165747
"Total Number Increase","Adult Male",45320.4932060008,9.46436302997753,45289.0066753891,45314.0077889947,45320.3713673365,45327.052268384,45351.6996017078
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",65839.0443044614,8.82097207461836,65808.1129254444,65833.2081513015,65839.0491247485,65845.1648121515,65868.4218271948
"Total Mortality","Neonatal Female",22715.1330723775,4.49700594900336,22699.3745113236,22712.1605453374,22715.1342280302,22718.2599726478,22730.0909484957
"Total Mortality","Neonatal Male",10845.1599481484,3.8304430421941,10831.7188742509,10842.6107219315,10845.1798824208,10847.8300968651,10857.8372937764
"Total Mortality","Neonatal Combined",33560.2930205259,8.32528850665176,33531.0933855744,33554.7695703968,33560.3161524007,33566.0604785171,33587.9282422721
"Total Mortality","Juvenile Female",4384.61262969041,0.202158833882593,4383.94168472594,4384.47583924944,4384.61113973475,4384.75363918578,4385.27950920693
"Total Mortality","Juvenile Male",937.604726319623,0.190620150215009,936.970743631704,937.474274502105,937.602279178356,937.737033098664,938.233305627753
"Total Mortality","Juvenile Combined",5322.21735601004,0.392773491215131,5320.91242835764,5321.95033112794,5322.21331194998,5322.4910585862,5323.51281483468
"Total Mortality","Adult Female",25396.7908179451,0.0689945273086928,25396.5766053162,25396.7445983741,25396.7907495292,25396.8386063337,25397.0150904082
"Total Mortality","Adult Male",1559.74310998035,0.0684687909548797,1559.5305061961,1559.69724738192,1559.74305423691,1559.79049943585,1559.96567967989
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1103990290.31113,97465.1339359092,1103648727.26693,1103925021.39261,1103989757.6307,1104058777.06822,1104316072.54672
"Value of Total Mortality","Neonatal Female",252501419.232548,49988.7181291216,252326247.067873,252468376.621971,252501432.078783,252536177.855953,252667690.983478
"Value of Total Mortality","Neonatal Male",103907477.46321,36699.4747872618,103778698.534198,103883053.326826,103907668.453474,103933060.158064,104028939.111671
"Value of Total Mortality","Neonatal Combined",356408896.695758,86666.0893880703,356104945.60207,356351369.025796,356409131.355581,356468945.747262,356696630.09515
"Value of Total Mortality","Juvenile Female",74266568.7216962,3424.16632830354,74255204.2558879,74264251.7652069,74266543.4848273,74268957.1405287,74277864.326947
"Value of Total Mortality","Juvenile Male",19355911.9701423,3935.16238103871,19342824.0315329,19353218.9228215,19355861.451358,19358643.3112888,19368888.3613793
"Value of Total Mortality","Juvenile Combined",93622480.6918385,7359.22619932276,93598028.2874208,93617472.9884353,93622401.9563345,93627607.0483236,93646752.6883263
"Value of Total Mortality","Adult Female",594183317.976645,1614.19596091534,594178306.257978,594182236.62356,594183316.375985,594184436.033782,594188565.055189
"Value of Total Mortality","Adult Male",59775594.9468868,2623.99794455495,59767447.1194593,59773837.3086646,59775592.8105752,59777411.1003795,59784124.7080522
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",382094911.245046,130507429.669466,70168210.4685313,275674431.510537,384416277.558888,482210624.188355,694689076.834102
